Num,Name,Tel,Add,Lat,Lon
149712,新科享,(03)5784403,新竹市東區科學園路146號142-1號1樓,24.7832047,121.0114312
137672,科園,(03)5678117,新竹市東區科學園路45號,24.785733,121.010503
852724,孟竹,(03)5723256,新竹市東區軍功里16鄰建新路26號1樓,24.7980311,120.9967409
996660,東品,(03)5618092,新竹市東區食品路146號1樓,24.797568,120.9768
143806,埔竹,(03)5781471,新竹市東區埔頂二路148號1樓,24.7927509,121.0101913
122636,竹科,(03)5790747,新竹市東區埔頂路8號,24.7929073,121.007525
170853,晏丞,(03)5612425,新竹市東區振興路50號1樓,24.7949205,120.9626039
123190,寶豐,(03)5294018,新竹市東區高峰路536巷58號之1,24.7746385,120.985039
155142,高灃,(03)5670804,新竹市東區高翠路331號1樓,24.7778469,120.98449
921046,鑫昌,(03)5267141,新竹市東區復興路34號1樓,24.8032338,120.9688634
155131,富首,(03)5678054,新竹市東區慈濟路230號1樓,24.7917441,121.0148838
970118,科管,(03)5670844,新竹市東區新安路2號,24.7816587,121.005907
993786,揚明,(03)5795413,新竹市東區新安路7號,24.7816544,120.9981509
127240,復全,(03)5771145,新竹市東區新莊里長春街13號,24.7852909,121.0139237
920216,翊銘,(03)5774378,新竹市東區新莊街182號186號,24.787139,121.0172805
141855,新站,(03)5244549,新竹市東區榮光里林森路7號中華路二段458號,24.8017534,120.9706749
942917,宏府,(03)5745036,新竹市東區學府路164號,24.7973736,120.985738
924919,學英,(03)5728236,新竹市東區學府路37號,24.7945855,120.9778022
120870,聯發科,(03)5679040,新竹市東區篤行一路1號,24.7721768,121.0238134
941914,新親仁,(03)5336597,新竹市東區親仁里仁愛街30號1樓,24.8072963,120.9714057
154666,關圓,(03)5788214,新竹市東區關東路56號1樓,24.783302,121.023008
142102,關新,(03)5782449,新竹市東區關新路179號1樓,24.7872204,121.0193251
981358,藍海,(03)5679182,新竹市東區關新路21號1樓,24.7846951,121.0180903
131928,竹醫,(03)5334622,新竹市東區鐵道路二段9號1樓,24.8230306,120.966483
901868,頂福,(03)5388361,新竹市香山區中山路628號630號,24.796062,120.954459
167444,隆華,(03)5398995,新竹市香山區中華路5段193號1樓,24.7863632,120.9248771
126524,香江,(03)5181847,新竹市香山區中華路6段428-430號,24.7350592,120.9126192
150767,佳香,(03)5182254,新竹市香山區中華路6段60-1號,24.7509214,120.9084357
947635,香華,(03)5309674,新竹市香山區中華路四段602號604號,24.7888641,120.92906
113218,華鑫,(03)5182741,新竹市香山區五福路二段725號727號729號1樓,24.7564582,120.952712
143828,新豪康,(03)5398534,新竹市香山區元培街371號1樓,24.7764831,120.943623
130925,岦湖,(03)5182449,新竹市香山區內湖路138號1樓,24.7418258,120.9059706
932183,祥園,(03)5402722,新竹市香山區牛埔北路50號,24.7983671,120.941793
151656,香圃,(03)5305337,新竹市香山區牛埔東路253號1樓,24.7960214,120.9437831
123411,松邑,(03)5304086,新竹市香山區牛埔南路2號,24.792724,120.942476
130936,東埔,(03)5399314,新竹市香山區牛埔路146號,24.7996611,120.95235
946241,香山,(03)5300114,新竹市香山區牛埔路447號,24.796179,120.9410532
943600,新竹延平,(03)5401035,新竹市香山區延平路二段82號84號,24.80529,120.940207
982867,華耀,(03)5378614,新竹市香山區明德路1號1樓,24.7566286,120.9521889
940841,百富祥,(03)5398840,新竹市香山區香北路181號183號,24.7907964,120.9261386
126498,香光,(03)5400747,新竹市香山區香北路82號1樓,24.7919761,120.927544
149181,海天,(03)5364888,新竹市香山區海埔路136號,24.8188611,120.924936
158749,東香,(03)5402700,新竹市香山區頂埔路2號,24.7965762,120.9514146
143518,璟觀,(03)5297705,新竹市香山區璟觀大道830號1樓,24.7602837,120.9582026
135470,金功,(03)5738402,新竹市東區建功二路2號及6號1樓,24.7963471,121.002435
