X.,Game,Release.date,Price,Score.rank.Userscore...Metascore.,Owners,Playtime..Median.,Developer.s.,Publisher.s.,,
30,Starseed-Pilgrim,16-Apr-13,$5.99,43% (76%,83%),"200,000?..?500,000",00:00 (00:00),Droqen,Droqen's Games,
31,Silent-Storm-Gold-Edition,2-Oct-13,$9.99,77% (90%,83%),"200,000?..?500,000",00:01 (00:00),Nival,THQ Nordic,
32,Valdis-Story-Abyssal-City,30-Oct-13,$14.99,60% (84%,83%),"100,000?..?200,000",00:00 (00:00),,Endlessfluff Games,
33,Stick-it-to-The-Man!,13-Dec-13,$7.99,90% (94%,83%),"20,000?..?50,000",00:00 (00:00),Zoink Games,Ripstone,
34,Antichamber,31-Jan-13,$19.99,93% (95%,82%),"1,000,000?..?2,000,000",01:04 (00:56),Alexander Bruce,Demruth,
36,Joe-Danger-2-The-Movie,24-Jun-13,$14.99,60% (84%,82%),"200,000?..?500,000",00:00 (00:00),Hello Games,Hello Games,
40,Desktop-Dungeons,7-Nov-13,$14.99,77% (90%,82%),"100,000?..?200,000",00:05 (00:01),QCF Design,QCF Design,
39,Avadon-2-The-Corruption,30-Oct-13,$9.99,63% (85%,82%),"50,000?..?100,000",00:00 (00:00),Spiderweb Software,Spiderweb Software,
38,the-last-express,21-Nov-13,$6.99,53% (81%,82%),"20,000?..?50,000",00:00 (00:00),DotEmu,DotEmu,
35,Dominions-3-The-Awakening,10-Sep-13,$19.99,47% (78%,82%),"0?..?20,000",00:00 (00:00),Illwinter Game Design,Illwinter Game Design,
37,Rising-Storm-Game-of-the-Year-Edition,30-May-13,$19.99,99% (98%,82%),"0?..?20,000",00:00 (00:00),"Tripwire Interactive, Anti Matter Games",Tripwire Interactive,
43,War-Thunder,15-Aug-13,Free,51% (80%,81%),"10,000,000?..?20,000,000",10:08 (02:10),Gaijin Entertainment,Gaijin Entertainment,
41,Stronghold-HD,21-Oct-13,$5.99,87% (93%,81%),"1,000,000?..?2,000,000",00:51 (00:51),FireFly Studios,FireFly Studios,
47,Far-Cry-3---Blood-Dragon,1-May-13,$14.99,71% (88%,81%),"1,000,000?..?2,000,000",01:13 (00:49),Ubisoft Montreal,Ubisoft,
45,King-Arthurs-Gold,5-Nov-13,$9.99,56% (82%,81%),"200,000?..?500,000",01:07 (00:53),Transhuman Design,Transhuman Design,
46,Kentucky-Route-Zero,22-Feb-13,$24.99,60% (84%,81%),"200,000?..?500,000",04:14 (01:24),Cardboard Computer,Cardboard Computer,
42,The-Cat-Lady,4-Dec-13,$9.99,84% (92%,81%),"100,000?..?200,000",00:00 (00:00),Harvester Games,Screen 7,
44,trackmania-2-canyon,27-Feb-13,$19.99,49% (79%,81%),"100,000?..?200,000",05:16 (07:38),Nadeo,Ubisoft,
48,Outlast,4-Sep-13,$19.99,95% (96%,80%),"2,000,000?..?5,000,000",05:16 (00:33),Red Barrels,Red Barrels,
57,Brutal-Legend,26-Feb-13,$14.99,90% (94%,80%),"2,000,000?..?5,000,000",02:06 (01:21),Double Fine Productions,Double Fine Productions,
58,Company-of-Heroes-2,25-Jun-13,$19.99,41% (75%,80%),"2,000,000?..?5,000,000",05:49 (02:27),"Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",
54,GRID-2,27-May-13,$29.99,51% (80%,80%),"1,000,000?..?2,000,000",03:22 (02:47),"Codemasters Racing, Feral Interactive (Mac)","Codemasters, Feral Interactive (Mac)",
52,NARUTO-SHIPPUDEN-Ultimate-Ninja-STORM-3-Full-Burst-HD,24-Oct-13,$19.99,74% (89%,80%),"500,000?..?1,000,000",02:00 (03:57),CyberConnect2 Co. Ltd.,BANDAI NAMCO Entertainment,
55,Wargame-Airland-Battle,29-May-13,$19.99,71% (88%,80%),"500,000?..?1,000,000",00:02 (00:00),Eugen Systems,Focus Home Interactive,
49,Proteus,30-Jan-13,$9.99,49% (79%,80%),"200,000?..?500,000",00:00 (00:00),Ed Key and David Kanaga,Twisted Tree,
51,La-Mulana,15-Apr-13,$14.99,56% (82%,80%),"200,000?..?500,000",01:08 (00:32),NIGORO,AGM PLAYISM,
56,Goodbye-Deponia,17-Oct-13,$19.99,74% (89%,80%),"200,000?..?500,000",04:31 (03:31),Daedalic Entertainment,Daedalic Entertainment,
59,Fallen-Enchantress-Legendary-Heroes,22-May-13,$24.99,47% (78%,80%),"200,000?..?500,000",19:08 (06:22),Stardock Entertainment,Stardock Entertainment,
53,140,16-Oct-13,$4.99,90% (94%,80%),"100,000?..?200,000",01:03 (00:41),Carlsen Games,Carlsen Games,
60,FATE,12-Dec-13,$7.99,84% (92%,80%),"100,000?..?200,000",00:07 (00:02),WildTangent,WildTangent,
50,Dyad,24-Apr-13,$14.99,47% (78%,80%),"20,000?..?50,000",00:00 (00:00),][ Games Inc,Shawn McGrath,
65,PAYDAY-2,13-Aug-13,$9.99,58% (83%,79%),"10,000,000?..?20,000,000",10:15 (02:26),OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,
61,Ragnarok-Online,31-Oct-13,Free,45% (77%,79%),"500,000?..?1,000,000",00:31 (00:38),Gravity Interactive,Gravity Interactive,
66,State-of-Decay,5-Nov-13,N/A,60% (84%,79%),"500,000?..?1,000,000",13:36 (04:32),Undead Labs,Microsoft Studios,
67,Race-The-Sun,9-Dec-13,$9.99,90% (94%,79%),"500,000?..?1,000,000",00:16 (00:27),Flippfly LLC,Flippfly LLC,
62,Memoria,29-Aug-13,$19.99,77% (90%,79%),"200,000?..?500,000",02:23 (01:35),Daedalic Entertainment,Daedalic Entertainment,
68,Weird-Worlds-Return-to-Infinite-Space,19-Mar-13,$4.99,34% (71%,79%),"200,000?..?500,000",00:00 (00:00),Digital Eel,Digital Eel,
69,Sang-Froid---Tales-of-Werewolves,5-Apr-13,Free,68% (87%,79%),"200,000?..?500,000",00:00 (00:00),Artifice Studio,Artifice Studio,
63,Super-House-of-Dead-Ninjas,18-Feb-13,$6.99,95% (96%,79%),"100,000?..?200,000",02:19 (04:09),Megadev,Adult Swim Games,
64,TrackMania²-Valley,4-Jul-13,$19.99,43% (76%,79%),"100,000?..?200,000",00:58 (00:19),Nadeo,Ubisoft,
77,Earth-2150-Trilogy,1-Nov-13,$6.99,31% (69%,78%),"2,000,000?..?5,000,000",02:48 (03:06),Reality Pump Studios,"Topware Interactive, ACE",
72,Stronghold-Crusader-HD,21-Oct-13,$9.99,95% (96%,78%),"1,000,000?..?2,000,000",01:13 (00:43),FireFly Studios,FireFly Studios,
73,Baldurs-Gate-II-Enhanced-Edition,15-Nov-13,$19.99,63% (85%,78%),"500,000?..?1,000,000",07:27 (07:26),Beamdog,Beamdog,
74,Teleglitch-Die-More-Edition,24-Jul-13,$12.99,77% (90%,78%),"500,000?..?1,000,000",00:01 (00:00),Test3 Projects,Paradox Interactive,
75,LEGO-Marvel-Super-Heroes,22-Oct-13,$19.99,80% (91%,78%),"500,000?..?1,000,000",02:09 (01:05),Traveller's Tales,"Warner Bros. Interactive Entertainment, Feral Interactive (Mac)",
78,Baldurs-Gate-Enhanced-Edition,16-Jan-13,$19.99,63% (85%,78%),"500,000?..?1,000,000",26:37 (05:11),Beamdog,Beamdog,
76,Desperados-Wanted-Dead-or-Alive,20-Nov-13,$4.99,41% (75%,78%),"100,000?..?200,000",10:28 (04:15),Spellbound,THQ Nordic,
71,Soundodger+,11-Oct-13,$7.99,80% (91%,78%),"50,000?..?100,000",00:31 (00:16),Studio Bean,Adult Swim Games,
70,Samurai-Gunn,10-Dec-13,$14.99,90% (94%,78%),"20,000?..?50,000",00:31 (00:20),Teknopants,Maxistentialism,
88,Sanctum-2,15-May-13,$14.99,87% (93%,77%),"2,000,000?..?5,000,000",01:35 (01:00),Coffee Stain Studios,Coffee Stain Publishing,
90,Risk-of-Rain,8-Nov-13,$9.99,87% (93%,77%),"1,000,000?..?2,000,000",02:35 (01:25),Hopoo Games,Chucklefish,
89,Resident-Evil-Revelations-/-Biohazard-Revelations,20-May-13,$29.99,58% (83%,77%),"500,000?..?1,000,000",03:01 (03:12),Capcom,Capcom,
80,Anachronox,17-Oct-13,$6.99,51% (80%,77%),"200,000?..?500,000",00:00 (00:00),,Square Enix,
81,Ace-Combat-Assault-Horizon---Enhanced-Edition,24-Jan-13,$19.99,19% (60%,77%),"200,000?..?500,000",00:54 (01:09),NAMCO,BANDAI NAMCO Entertainment,
82,Rise-of-Flight-United,5-Sep-13,Free,13% (53%,77%),"200,000?..?500,000",00:29 (00:09),777 Studios,1C-777,
84,Eldritch,21-Oct-13,$14.99,71% (88%,77%),"200,000?..?500,000",00:35 (00:45),Minor Key Games,Minor Key Games,
85,TrackMania²-Stadium,20-Jun-13,$9.99,56% (82%,77%),"200,000?..?500,000",03:05 (01:13),Nadeo,Ubisoft,
87,Teslagrad,13-Dec-13,$9.99,66% (86%,77%),"200,000?..?500,000",02:09 (02:34),Rain Games,Rain Games,
91,Anomaly-2,15-May-13,$14.99,47% (78%,77%),"200,000?..?500,000",03:18 (01:06),11 bit studios,11 bit studios,
79,Expeditions-Conquistador,30-May-13,$19.99,49% (79%,77%),"100,000?..?200,000",22:17 (14:16),Logic Artists,THQ Nordic,
83,Angry-Video-Game-Nerd-Adventures,20-Sep-13,$4.99,77% (90%,77%),"100,000?..?200,000",00:06 (00:02),FreakZone Games,Screenwave Media,
86,Element4l,24-May-13,$8.99,60% (84%,77%),"50,000?..?100,000",00:01 (00:00),I-Illusions,I-Illusions,
96,Total-War-ROME-II---Emperor-Edition,2-Sep-13,$59.95,28% (67%,76%),"2,000,000?..?5,000,000",06:35 (03:00),CREATIVE ASSEMBLY,SEGA,
94,Shadowrun-Returns,25-Jul-13,$14.99,71% (88%,76%),"1,000,000?..?2,000,000",11:14 (00:50),Harebrained Schemes,Paradox Interactive,
93,SteamWorld-Dig,5-Dec-13,$9.99,87% (93%,76%),"200,000?..?500,000",00:00 (00:00),Image & Form Games,Image & Form Games,
97,Volgarr-the-Viking,13-Sep-13,$9.99,60% (84%,76%),"200,000?..?500,000",01:26 (00:55),Crazy Viking Studios,Adult Swim Games,
92,Syder-Arcade,24-Oct-13,$9.99,68% (87%,76%),"100,000?..?200,000",00:00 (00:00),Studio Evil,Studio Evil,
95,Kairo,24-Apr-13,$4.99,41% (75%,76%),"100,000?..?200,000",00:00 (00:00),Locked Door Puzzle,Lupus Studios Limited,
99,ShootMania-Storm,10-Apr-13,$19.99,63% (85%,76%),"50,000?..?100,000",00:00 (00:00),Nadeo,Ubisoft,
98,Fester-Mudd-Curse-of-the-Gold---Episode-1,4-Nov-13,$9.99,36% (72%,76%),"20,000?..?50,000",00:00 (00:00),,,
109,Star-Conflict,27-Feb-13,Free,43% (76%,75%),"2,000,000?..?5,000,000",05:17 (03:58),Star Gem Inc.,Gaijin Entertainment,
100,Poker-Night-2,26-Apr-13,N/A,60% (84%,75%),"500,000?..?1,000,000",00:36 (00:52),Telltale Games,Telltale Games,
106,Reus,16-May-13,$9.99,49% (79%,75%),"500,000?..?1,000,000",01:16 (00:25),Abbey Games,Abbey Games,
102,Anna---Extended-Edition,12-Apr-13,$9.99,27% (66%,75%),"200,000?..?500,000",00:48 (00:31),Dreampainters,Kalypso Media Digital,
103,The-Night-of-the-Rabbit,28-May-13,$19.99,77% (90%,75%),"200,000?..?500,000",00:00 (00:00),Daedalic Entertainment,Daedalic Entertainment,
105,Beatbuddy-Tale-of-the-Guardians,6-Aug-13,$9.99,66% (86%,75%),"200,000?..?500,000",04:12 (01:24),Threaks,Threaks,
107,Cubetractor,29-May-13,$9.99,74% (89%,75%),"200,000?..?500,000",00:08 (00:02),Ludochip,Ludochip,
108,Nihilumbra,25-Oct-13,$7.99,74% (89%,75%),"200,000?..?500,000",00:00 (00:00),BeautiFun Games,BeautiFun Games,
101,Anodyne,22-Mar-13,$9.99,71% (88%,75%),"100,000?..?200,000",00:00 (00:00),"Sean Han Tani, Marina Kittaka",Analgesic Productions,
104,Ring-Runner-Flight-of-the-Sages,19-Nov-13,$4.99,63% (85%,75%),"100,000?..?200,000",04:50 (01:36),Triple.B.Titles,Triple.B.Titles,
110,Neverwinter,5-Dec-13,Free,47% (78%,74%),"5,000,000?..?10,000,000",10:24 (02:39),Cryptic Studios,Perfect World Entertainment,
112,Arma-3,12-Sep-13,$39.99,74% (89%,74%),"2,000,000?..?5,000,000",12:24 (03:18),Bohemia Interactive,Bohemia Interactive,
114,Batman-Arkham-Origins,24-Oct-13,$19.99,60% (84%,74%),"2,000,000?..?5,000,000",02:42 (01:23),"WB Games Montreal, Splash Damage",Warner Bros. Interactive Entertainment,
115,Eador-Masters-of-the-Broken-World,19-Apr-13,$19.99,27% (66%,74%),"1,000,000?..?2,000,000",02:50 (02:28),Snowbird Games,Snowbird Games,
113,The-Bridge,22-Feb-13,$9.99,74% (89%,74%),"500,000?..?1,000,000",00:27 (00:24),"Ty Taylor and Mario Castañeda, The Quantum Astrophysicists Guild",The Quantum Astrophysicists Guild,
111,Incredipede,18-Mar-13,$9.99,47% (78%,74%),"100,000?..?200,000",00:08 (00:02),Colin Northway with art by Thomas Shahan,Northway Games,
116,BITTRIP-FATE,11-Jul-13,$9.99,22% (62%,74%),"20,000?..?50,000",00:15 (00:05),Gaijin Games,Gaijin Games,
123,Shadow-Warrior,26-Sep-13,$39.99,87% (93%,73%),"2,000,000?..?5,000,000",02:54 (01:31),Flying Wild Hog,Devolver Digital,
121,Worms-Clan-Wars,15-Aug-13,$4.99,43% (76%,73%),"500,000?..?1,000,000",05:14 (04:47),Team17 Digital Ltd,Team17 Digital Ltd,
125,Gas-Guzzlers-Extreme,8-Oct-13,$24.99,63% (85%,73%),"200,000?..?500,000",01:14 (01:18),Gamepires,Iceberg Interactive,
127,Divekick,20-Aug-13,$4.99,77% (90%,73%),"200,000?..?500,000",00:00 (00:00),Iron Galaxy,Iron Galaxy,
117,Fieldrunners-2,10-Jan-13,$9.99,66% (86%,73%),"100,000?..?200,000",01:33 (00:31),Subatomic Studios LLC,Subatomic Studios LLC,
118,Super-Splatters,26-Jun-13,$9.99,74% (89%,73%),"100,000?..?200,000",00:00 (00:00),SpikySnail,SpikySnail,
120,PixelJunk-Shooter,11-Nov-13,$8.99,90% (94%,73%),"100,000?..?200,000",00:58 (00:19),"Double Eleven, Q-Games Ltd.",Double Eleven,
122,Guncraft,9-Aug-13,$14.99,11% (50%,73%),"100,000?..?200,000",00:00 (00:00),Exato Games Studio,Reverb Triple XP,
124,CastleStorm,29-Jul-13,$9.99,74% (89%,73%),"100,000?..?200,000",00:00 (00:00),Zen Studios,Zen Studios,
119,Dungeon-Hearts,28-Mar-13,$2.99,28% (67%,73%),"50,000?..?100,000",00:00 (00:00),Cube Roots,Devolver Digital,
128,MirrorMoon-EP,4-Sep-13,$14.99,27% (66%,73%),"50,000?..?100,000",04:52 (01:37),Santa Ragione,Santa Ragione,
126,Fist-Puncher,21-Jun-13,$9.99,41% (75%,73%),"20,000?..?50,000",00:00 (00:00),Team2Bit,Adult Swim Games,
131,Amnesia-A-Machine-for-Pigs,10-Sep-13,$19.99,25% (65%,72%),"2,000,000?..?5,000,000",04:50 (06:20),The Chinese Room,Frictional Games,
129,The-Incredible-Adventures-of-Van-Helsing,22-May-13,$14.99,58% (83%,72%),"500,000?..?1,000,000",01:34 (01:02),NeocoreGames,NeocoreGames,
133,Cities-in-Motion-2,2-Apr-13,$19.99,17% (58%,72%),"500,000?..?1,000,000",01:57 (02:20),Colossal Order Ltd.,Paradox Interactive,
137,Hammerwatch,12-Aug-13,$9.99,74% (89%,72%),"500,000?..?1,000,000",00:52 (00:29),Crackshell,Crackshell,
134,The-Journey-Down-Chapter-One,9-Jan-13,$8.99,68% (87%,72%),"200,000?..?500,000",00:00 (00:00),SkyGoblin,SkyGoblin,
136,PixelJunk-Monsters-Ultimate,26-Aug-13,$9.99,53% (81%,72%),"200,000?..?500,000",02:09 (01:06),"Double Eleven, Q-Games Ltd.",Double Eleven,
139,Septerra-Core,27-Sep-13,$4.99,45% (77%,72%),"200,000?..?500,000",02:57 (02:56),,Topware Interactive,
135,Skulls-of-the-Shogun,29-Jul-13,$9.99,80% (91%,72%),"100,000?..?200,000",00:00 (00:00),17-BIT,17-BIT,
138,The-Inner-World,27-Sep-13,$14.99,84% (92%,72%),"100,000?..?200,000",00:08 (00:02),Studio Fizbin,Headup Games,
130,Tetrobot-and-Co,22-Oct-13,$9.99,97% (97%,72%),"50,000?..?100,000",00:53 (00:17),Swing Swing Submarine,Swing Swing Submarine,
132,Aarklash-Legacy,12-Sep-13,$15.99,47% (78%,72%),"50,000?..?100,000",00:00 (00:00),Cyanide Studio,Bigben Interactive,
145,Warframe,25-Mar-13,Free,84% (92%,71%),"20,000,000?..?50,000,000",17:05 (04:21),Digital Extremes,Digital Extremes,
147,World-War-III-Black-Gold,27-Sep-13,$4.99,13% (53%,71%),"2,000,000?..?5,000,000",04:01 (04:48),Reality Pump,Topware Interactive,
140,Surgeon-Simulator,19-Apr-13,$9.99,56% (82%,71%),"1,000,000?..?2,000,000",00:12 (00:12),Bossa Studios,Bossa Studios,
144,Enclave,4-Oct-13,$4.99,38% (73%,71%),"1,000,000?..?2,000,000",03:42 (05:16),Starbreeze,Topware Interactive,
146,Bionic-Dues,8-Oct-13,$9.99,63% (85%,71%),"200,000?..?500,000",00:00 (00:00),"Arcen Games, LLC","Arcen Games, LLC",
142,Lilly-Looking-Through,1-Nov-13,$9.99,49% (79%,71%),"100,000?..?200,000",00:00 (00:00),Geeta Games,,
141,March-of-the-Eagles,18-Feb-13,$19.99,27% (66%,71%),"50,000?..?100,000",00:00 (00:00),Paradox Development Studio,Paradox Interactive,
143,Battle-Worlds-Kronos,4-Nov-13,$19.99,23% (63%,71%),"20,000?..?50,000",00:00 (00:00),KING Art,"KING Art, THQ Nordic",
148,Democracy-3,14-Oct-13,$24.99,38% (73%,70%),"500,000?..?1,000,000",01:29 (01:14),Positech Games,Positech Games,
150,Papo-Yo,18-Apr-13,$14.99,93% (95%,70%),"200,000?..?500,000",00:01 (00:00),Minority Media Inc.,Minority Media,
151,ENSLAVED-Odyssey-to-the-West-Premium-Edition,24-Oct-13,$19.99,63% (85%,70%),"200,000?..?500,000",00:37 (00:12),Ninja Theory,BANDAI NAMCO Entertainment,
149,Retrovirus,31-Jan-13,$9.99,36% (72%,70%),"20,000?..?50,000",00:00 (00:00),Cadenza Interactive,Cadenza Interactive,
155,Resident-Evil-6-/-Biohazard-6,22-Mar-13,$29.99,47% (78%,69%),"1,000,000?..?2,000,000",06:47 (02:22),Capcom,Capcom,
152,Neighbours-from-Hell-Compilation,7-Nov-13,$9.99,97% (97%,69%),"200,000?..?500,000",01:02 (00:37),JoWooD Vienna,THQ Nordic,
156,Megabyte-Punch,15-Oct-13,$14.99,84% (92%,69%),"200,000?..?500,000",00:28 (00:09),Team Reptile,Team Reptile,
157,Shelter,28-Aug-13,$9.99,66% (86%,69%),"200,000?..?500,000",01:42 (00:36),Might and Delight,Might and Delight,
159,Thunder-Wolves,15-May-13,$9.99,74% (89%,69%),"100,000?..?200,000",00:00 (00:00),Most Wanted Entertainment,HandyGames,
153,Foul-Play,18-Sep-13,$14.99,60% (84%,69%),"50,000?..?100,000",00:00 (00:00),"Mediatonic, The Irregular Corporation",Devolver Digital,
154,Marc-Eck?s-Getting-Up-Contents-Under-Pressure,13-Dec-13,$14.99,80% (91%,69%),"50,000?..?100,000",00:00 (00:00),"The Collective, General Arcade",Devolver Digital,
158,Ironclad-Tactics,18-Sep-13,$14.99,47% (78%,69%),"50,000?..?100,000",00:23 (00:08),Zachtronics,Zachtronics,
166,Age-of-Empires-II-HD,9-Apr-13,$19.99,90% (94%,68%),"5,000,000?..?10,000,000",03:38 (01:47),"Skybox Labs, Hidden Path Entertainment, Ensemble Studios, Forgotten Empires",Microsoft Studios,
161,Game-Dev-Tycoon,29-Aug-13,$9.99,93% (95%,68%),"1,000,000?..?2,000,000",03:16 (02:01),Greenheart Games,Greenheart Games,
164,The-Cave,23-Jan-13,$14.99,66% (86%,68%),"200,000?..?500,000",00:03 (00:01),Double Fine Productions,Double Fine Productions,
165,Scribblenauts-Unmasked-A-DC-Comics-Adventure,24-Sep-13,$19.99,51% (80%,68%),"200,000?..?500,000",02:58 (02:49),5th Cell Media,Warner Bros. Interactive Entertainment,
163,A-Valley-Without-Wind-2,18-Feb-13,$14.99,10% (48%,68%),"100,000?..?200,000",00:00 (00:00),"Arcen Games, LLC","Arcen Games, LLC",
167,Cubemen-2,8-Apr-13,$7.99,34% (71%,68%),"100,000?..?200,000",00:00 (00:00),3 Sprockets,3 Sprockets,
168,Space-Rangers-HD-A-War-Apart,17-Oct-13,$14.99,90% (94%,68%),"100,000?..?200,000",02:53 (02:01),"SNK Games, Elemental Games, Katauri Interactive",1C Entertainment,
162,Dark-Fall-The-Journal,3-Dec-13,$4.99,39% (74%,68%),"50,000?..?100,000",00:00 (00:00),Darkling Room,THQ Nordic,
160,Rain-Blood-Chronicles-Mirage,11-Nov-13,$4.99,38% (73%,68%),"0?..?20,000",00:00 (00:00),,Origo Games,
172,Rise-of-the-Triad,31-Jul-13,$14.99,31% (69%,67%),"200,000?..?500,000",00:00 (00:00),"Slipgate Studios??,Apogee Software""",,
173,Long-Live-The-Queen,8-Nov-13,$9.99,93% (95%,67%),"200,000?..?500,000",01:23 (01:22),Hanako Games,Hanako Games,
175,The-Banner-Saga-Factions,25-Feb-13,Free,38% (73%,67%),"200,000?..?500,000",02:12 (01:42),Stoic,Versus Evil,
169,Ittle-Dew,23-Jul-13,$9.99,84% (92%,67%),"100,000?..?200,000",00:00 (00:00),Ludosity,Ludosity,
171,"10,000,000",15-Jan-13,$4.99,77% (90%,67%),"100,000?..?200,000",01:15 (01:12),EightyEightGames,EightyEightGames,
170,Cloudberry-Kingdom,2-Aug-13,$9.99,77% (90%,67%),"20,000?..?50,000",00:00 (00:00),Pwnee Studios,Ubisoft,
174,A-Walk-in-the-Dark,7-Nov-13,$6.99,53% (81%,67%),"20,000?..?50,000",00:00 (00:00),,,
177,The-Bureau-XCOM-Declassified,19-Aug-13,$19.99,27% (66%,66%),"2,000,000?..?5,000,000",01:19 (01:23),2K Marin,2K,
180,DuckTales-Remastered,13-Aug-13,$14.99,66% (86%,66%),"200,000?..?500,000",00:18 (00:06),WayForward,Capcom,
183,Strike-Suit-Zero,23-Jan-13,$19.99,51% (80%,66%),"200,000?..?500,000",00:00 (00:00),Born Ready Games Ltd.,Born Ready Games,
176,Strike-Suit-Infinity,30-Apr-13,$6.99,63% (85%,66%),"100,000?..?200,000",01:22 (00:27),Born Ready Games Ltd.,Born Ready Games,
178,Final-Exam,5-Nov-13,$9.99,66% (86%,66%),"100,000?..?200,000",01:38 (00:32),Mighty Rocket Studio,Focus Home Interactive,
