X.,Game,Release.date,Price,Score.rank.Userscore...Metascore.,Owners,Playtime..Median.,Developer.s.,Publisher.s.,,
425,Reach-for-the-Sun,7-Nov-13,$4.99,27% (66%),,"20,000?..?50,000",00:00 (00:00),Filament Games,,
432,YOU-DONT-KNOW-JACK-Vol-4-The-Ride,5-Nov-13,$2.99,71% (88%),,"20,000?..?50,000",00:16 (00:15),"Jackbox Games, Inc.","Jackbox Games, Inc.",
434,Nimble-Quest,6-Dec-13,$4.99,77% (90%),,"20,000?..?50,000",00:00 (00:00),,,
449,Flashback,1-Oct-13,$9.99,21% (61%),,"20,000?..?50,000",00:00 (00:00),,Ubisoft,
452,Project-Syria,8-Jan-13,Free,4% (31%),,"20,000?..?50,000",00:00 (00:00),Emblematic Group,Emblematic Group,
457,Gimbal,19-Nov-13,$9.99,56% (82%),,"20,000?..?50,000",00:00 (00:00),8888888 LABS,8888888 LABS,
460,Truck-Racer,18-Oct-13,$9.99,30% (68%),,"20,000?..?50,000",00:00 (00:00),Kylotonn Entertainment,"Plug In Digital, Bigben Interactive",
462,Dracula-Love-Kills,29-Oct-13,$9.99,51% (80%),,"20,000?..?50,000",00:00 (00:00),Waterlily Games,Frogwares,
474,Go-Home-Dinosaurs!,14-Mar-13,$9.99,90% (94%),,"20,000?..?50,000",00:00 (00:00),Fire Hose Games,Fire hose Games,
477,Joe-Danger,24-Jun-13,$14.99,58% (83%),,"20,000?..?50,000",00:00 (00:00),Hello Games,Hello Games,
479,903m,20-Nov-13,Free,56% (82%),,"20,000?..?50,000",00:00 (00:00),Space Budgie,Space Budgie,
485,Dead-Sky,22-Nov-13,$1.99,6% (38%),,"20,000?..?50,000",00:00 (00:00),,,
487,Angelica-Weaver-Catch-Me-When-You-Can,7-Jan-13,$13.99,36% (72%),,"20,000?..?50,000",00:00 (00:00),MumboJumbo,MumboJumbo,
489,Ride-em-Low,4-Nov-13,$2.99,17% (58%),,"20,000?..?50,000",00:00 (00:00),"Red Dot Games, PLAY",Libredia,
495,Tiny-Barbarian-DX,3-Dec-13,$29.99,68% (87%),,"20,000?..?50,000",00:00 (00:00),StarQuail Games,"Nicalis, Inc",
499,Eleusis,16-Oct-13,$14.99,22% (62%),,"20,000?..?50,000",00:01 (00:00),Nocturnal works,Nocturnal works,
511,Vox,12-Nov-13,$9.99,2% (24%),,"20,000?..?50,000",00:00 (00:00),,,
515,Skyscraper-Simulator,21-Oct-13,$2.99,1% (7%),,"20,000?..?50,000",00:00 (00:00),Actalogic,Libredia,
258,Cities-XL-Platinum,6-Feb-13,$9.99,15% (55%),,"200,000?..?500,000",00:34 (00:22),Focus Home Interactive,Focus Home Interactive,
263,Organ-Trail-Directors-Cut,19-Mar-13,$4.99,74% (89%),,"200,000?..?500,000",00:09 (00:05),The Men Who Wear Many Hats,The Men Who Wear Many Hats,
272,Sparkle-2-Evo,24-Oct-13,$4.99,36% (72%),,"200,000?..?500,000",03:08 (02:05),,Forever Entertainment S. A.,
282,Divinity-Dragon-Commander,6-Aug-13,$39.99,38% (73%),,"200,000?..?500,000",02:15 (01:29),Larian Studios,Larian Studios,
283,Kenshi,20-Mar-13,$19.99,74% (89%),,"200,000?..?500,000",13:38 (07:02),Lo-Fi Games,Lo-Fi Games,
294,Interstellar-Marines,2-Jul-13,$9.99,22% (62%),,"200,000?..?500,000",04:02 (01:20),Zero Point Software,Zero Point Software,
299,Edna-Harvey-The-Breakout,25-Oct-13,$14.99,56% (82%),,"200,000?..?500,000",00:30 (00:20),Daedalic Entertainment,Daedalic Entertainment,
301,Viscera-Cleanup-Detail-Shadow-Warrior,11-Oct-13,N/A,49% (79%),,"200,000?..?500,000",00:05 (00:02),RuneStorm,Devolver Digital,
307,Dungeon-Party,13-Mar-13,Free,7% (40%),,"200,000?..?500,000",00:00 (00:00),Cyanide Studio,Bigben Interactive,
334,DLC-Quest,18-Mar-13,$2.99,71% (88%),,"200,000?..?500,000",01:20 (00:41),Going Loud Studios,Going Loud Studios,
336,Omerta---City-of-Gangsters,31-Jan-13,$14.99,21% (61%),,"200,000?..?500,000",01:14 (00:24),Haemimont Games,Kalypso Media Digital,
339,Monster-Loves-You!,18-Mar-13,$9.99,41% (75%),,"200,000?..?500,000",00:00 (00:00),"Radial Games Corp, Dejobaan Games, LLC",Radial Games Corp,
340,Wasteland-1---The-Original-Classic,13-Nov-13,$5.99,53% (81%),,"200,000?..?500,000",00:00 (00:00),inXile Entertainment,inXile Entertainment,
341,Toki-Tori-2+,11-Jul-13,$14.99,66% (86%),,"200,000?..?500,000",00:00 (00:00),Two Tribes,Two Tribes,
356,Champions-of-Regnum,27-Feb-13,Free,21% (61%),,"200,000?..?500,000",00:00 (00:00),NGD Studios,NGD Studios,
357,Shadow-Warrior-Classic-Redux,8-Jul-13,$9.99,84% (92%),,"200,000?..?500,000",02:12 (00:44),General Arcade,Devolver Digital,
364,King?ôs-Bounty-Legions,10-Dec-13,Free,12% (51%),,"200,000?..?500,000",00:00 (00:00),Nival,Nival,
366,Iesabel,11-Oct-13,$4.99,3% (25%),,"200,000?..?500,000",00:00 (00:00),,Forever Entertainment S. A.,
372,Heli-Heroes,1-Nov-13,$4.99,6% (39%),,"200,000?..?500,000",02:35 (03:12),Reality Pump,Topware Interactive,
374,Earth-2140,15-Nov-13,$4.99,14% (54%),,"200,000?..?500,000",03:58 (05:12),Reality Pump Studios,"Topware Interactive ACE, ACE",
379,Farming-Simulator-2013-Titanium-Edition,9-Oct-13,$14.99,77% (90%),,"200,000?..?500,000",00:26 (00:33),Giants Software,Giants Software,
381,Zeno-Clash-2,30-Apr-13,$14.99,51% (80%),,"200,000?..?500,000",00:52 (00:17),ACE Team,ATLUS USA,
392,Daikatana,1-Oct-13,$6.99,24% (64%),,"200,000?..?500,000",00:22 (00:07),,Square Enix,
394,The-Typing-of-The-Dead-Overkill,29-Oct-13,$19.99,66% (86%),,"200,000?..?500,000",01:39 (00:33),Modern Dream,SEGA,
410,PAC-MAN-Championship-Edition-DX+,24-Sep-13,$9.99,95% (96%),,"200,000?..?500,000",00:04 (00:02),"Mine Loader Software Co., Ltd.",BANDAI NAMCO Entertainment,
411,Savant---Ascent,4-Dec-13,$1.99,90% (94%),,"200,000?..?500,000",00:23 (00:07),D-Pad Studio,,
412,Talisman-Prologue,14-Oct-13,$6.99,30% (68%),,"200,000?..?500,000",00:00 (00:00),Nomad Games,Nomad Games,
429,The-39-Steps,25-Apr-13,$14.99,53% (81%),,"200,000?..?500,000",03:27 (04:14),The Story Mechanics,KISS ltd,
430,Professional-Farmer-2014,27-Nov-13,$14.99,9% (45%),,"200,000?..?500,000",00:00 (00:00),PlayWay S.A.,United Independent Entertainment GmbH,
431,I-Have-No-Mouth-and-I-Must-Scream,17-Oct-13,$5.99,71% (88%),,"200,000?..?500,000",03:36 (01:12),Cyberdreams,Nightdive Studios,
435,Tales-of-MajEyal,12-Dec-13,$6.99,93% (95%),,"200,000?..?500,000",10:42 (09:20),Netcore Games,Netcore Games,
438,Knights-of-Pen-and-Paper-+1-Edition,18-Jun-13,$9.99,63% (85%),,"200,000?..?500,000",04:09 (02:51),Behold Studios,Paradox Interactive,
444,Broken-Sword-5---the-Serpents-Curse,4-Dec-13,$24.99,68% (87%),,"200,000?..?500,000",00:32 (00:36),Revolution Software Ltd,Revolution Software Ltd,
451,Marvel-Puzzle-Quest,5-Dec-13,Free,31% (69%),,"200,000?..?500,000",00:43 (00:14),Demiurge Studios,D3 Go!,
466,Bridge-Constructor,16-Oct-13,$9.99,41% (75%),,"200,000?..?500,000",04:12 (03:58),ClockStone,Headup Games,
469,LOST-PLANET-3,26-Aug-13,$24.99,22% (62%),,"200,000?..?500,000",00:00 (00:00),Spark Unlimited,Capcom,
476,Castlevania-Lords-of-Shadow-??Ultimate-Edition,27-Aug-13,$29.99,49% (79%),,"200,000?..?500,000",02:43 (03:37),MercurySteam - Climax Studios,Konami Digital Entertainment,
478,Penny-Arcades-On-the-Rain-Slick-Precipice-of-Darkness-4,7-Jun-13,$1.99,58% (83%),,"200,000?..?500,000",01:01 (00:40),Zeboyd Games,"Penny Arcade, Inc.",
504,Pool-Nation,18-Oct-13,$6.99,77% (90%),,"200,000?..?500,000",00:17 (00:11),Cherry Pop Games,Cherry Pop Games,
513,Cook-Serve-Delicious!,8-Oct-13,$9.99,93% (95%),,"200,000?..?500,000",00:26 (00:34),Vertigo Gaming Inc.,Vertigo Gaming Inc.,
484,No-More-Room-in-Hell,31-Oct-13,Free,74% (89%),,"5,000,000?..?10,000,000",02:26 (00:46),No More Room in Hell Team,Lever Games,
247,The-11th-Hour,18-Oct-13,$5.99,12% (51%),,"50,000?..?100,000",00:00 (00:00),Trilobyte Games,Nightdive Studios,
251,Alex-Hunter---Lord-of-the-Mind-Platinum-Edition,3-Dec-13,$6.99,53% (81%),,"50,000?..?100,000",03:31 (01:10),Alawar,Viva Media,
253,YOU-DONT-KNOW-JACK-Vol-3,5-Nov-13,$2.99,N/A (N/A),,"50,000?..?100,000",00:00 (00:00),"Jackbox Games, Inc.","Jackbox Games, Inc.",
254,Eador-Genesis,14-Oct-13,$5.99,58% (83%),,"50,000?..?100,000",00:00 (00:00),"Alexey Bokulev, Snowbird Games",Snowbird Games,
256,Zombie-Tycoon-2-Brainhovs-Revenge,9-Dec-13,$4.99,25% (65%),,"50,000?..?100,000",01:47 (00:35),Frima Studio,Frima Studio,
262,WRC-4-FIA-World-Rally-Championship,25-Oct-13,$29.99,23% (63%),,"50,000?..?100,000",00:00 (00:00),Milestone S.r.l.,"Plug In Digital, Bigben Interactive",
270,Airport-Simulator-2014,19-Dec-13,$9.99,1% (10%),,"50,000?..?100,000",00:00 (00:00),United Independent Entertainment GmbH,United Independent Entertainment GmbH,
271,Blood-Knights,13-Nov-13,$9.99,25% (65%),,"50,000?..?100,000",01:33 (01:01),Deck 13,Kalypso Media Digital,
278,YOU-DONT-KNOW-JACK-HEADRUSH,5-Nov-13,$2.99,N/A (N/A),,"50,000?..?100,000",00:00 (00:00),"Jackbox Games, Inc.","Jackbox Games, Inc.",
284,YOU-DONT-KNOW-JACK-Vol-1-XL,5-Nov-13,$2.99,49% (79%),,"50,000?..?100,000",00:15 (00:13),"Jackbox Games, Inc.","Jackbox Games, Inc.",
287,Droid-Assault,9-Jan-13,$9.99,60% (84%),,"50,000?..?100,000",00:00 (00:00),Puppygames,Puppygames,
291,MotoGP13,20-Jun-13,$9.99,31% (69%),,"50,000?..?100,000",01:06 (00:22),Milestone S.r.l.,"Plug In Digital, Milestone S.r.l.",
293,Eryis-Action,19-Nov-13,$4.99,74% (89%),,"50,000?..?100,000",00:00 (00:00),Xtal Sword,Xtal Sword,
295,Wizardry-6-Bane-of-the-Cosmic-Forge,10-Sep-13,$4.99,45% (77%),,"50,000?..?100,000",00:57 (00:19),Sir-Tech,"Gamepot, Inc., Nightdive Studios",
298,Zack-Zero,29-Apr-13,$2.99,23% (63%),,"50,000?..?100,000",00:00 (00:00),Crocodile Entertainment,Crocodile Entertainment,
308,The-Shivah,21-Nov-13,$4.99,56% (82%),,"50,000?..?100,000",00:00 (00:00),,Wadjet Eye Games,
311,Gravity-Badgers,28-Nov-13,$4.99,33% (70%),,"50,000?..?100,000",00:00 (00:00),Wales Interactive,Wales Interactive,
312,3079----Block-Action-RPG,14-Nov-13,$4.99,12% (51%),,"50,000?..?100,000",00:16 (00:05),Phr00t's Software,Phr00t's Software,
313,Dysfunctional-Systems-Learning-to-Manage-Chaos,26-Sep-13,$4.99,45% (77%),,"50,000?..?100,000",00:00 (00:00),Dischan Media,Dischan Media,
324,Bus-Simulator-2012,22-Nov-13,$9.99,4% (34%),,"50,000?..?100,000",00:00 (00:00),TML-Studios,astragon Entertainment,
325,Agricultural-Simulator-Historical-Farming,6-Nov-13,$9.99,1% (12%),,"50,000?..?100,000",00:00 (00:00),Actalogic,United Independent Entertainment GmbH,
327,Cognition-An-Erica-Reed-Thriller,19-Sep-13,$14.99,56% (82%),,"50,000?..?100,000",00:00 (00:00),Phoenix Online Studios,Phoenix Online Publishing,
331,Emergency-2014,15-Nov-13,$9.99,16% (57%),,"50,000?..?100,000",01:13 (00:24),Sixteen Tons Entertainment,Sixteen Tons Entertainment,
332,Super-Puzzle-Platformer-Deluxe,24-May-13,$7.99,90% (94%),,"50,000?..?100,000",00:11 (00:06),Andrew Morrish,Adult Swim Games,
335,Mutant-Mudds-Deluxe,21-Nov-13,$9.99,49% (79%),,"50,000?..?100,000",00:00 (00:00),Renegade Kid,Good Shepherd Entertainment,
345,YOU-DONT-KNOW-JACK-Vol-2,5-Nov-13,$2.99,N/A (N/A),,"50,000?..?100,000",00:00 (00:00),"Jackbox Games, Inc.","Jackbox Games, Inc.",
346,Shadows-Price-For-Our-Sins-Bonus-Edition,24-Oct-13,$9.99,11% (49%),,"50,000?..?100,000",00:00 (00:00),8th Floor Games,"Encore, Viva Media",
347,Leisure-Suit-Larry-in-the-Land-of-the-Lounge-Lizards-Reloaded,27-Jun-13,N/A,51% (80%),,"50,000?..?100,000",00:00 (00:00),nFusion Interactive,Replay Games,
360,VelocityUltra,12-Dec-13,$9.99,63% (85%),,"50,000?..?100,000",00:00 (00:00),"Curve Digital, FuturLab",Curve Digital,
370,Ms-Splosion-Man,3-Apr-13,$9.99,60% (84%),,"50,000?..?100,000",00:00 (00:00),Twisted Pixel Games,Microsoft Studios,
377,Dragons-Lair,17-May-13,$9.99,47% (78%),,"50,000?..?100,000",00:00 (00:00),Digital Leisure Inc.,Digital Leisure Inc.,
383,Agricultural-Simulator-2013---Steam-Edition,7-Jun-13,$9.99,2% (22%),,"50,000?..?100,000",00:40 (00:13),Actalogic,United Independent Entertainment GmbH,
384,Doorways-Prelude,20-Sep-13,$9.99,21% (61%),,"50,000?..?100,000",01:18 (00:26),Saibot Studios,Saibot Studios,
385,Dominions-4-Thrones-of-Ascension,5-Dec-13,$34.99,77% (90%),,"50,000?..?100,000",00:37 (00:12),Illwinter Game Design,Illwinter Game Design,
389,Postmortem-One-Must-Die-(Extended-Cut),3-Dec-13,$2.99,9% (45%),,"50,000?..?100,000",00:00 (00:00),Unbound Creations,Unbound Creations,
390,Zafehouse-Diaries,6-Sep-13,$1.99,28% (67%),,"50,000?..?100,000",00:00 (00:00),Screwfly Studios,Screwfly Studios,
398,YOU-DONT-KNOW-JACK-SPORTS,5-Nov-13,$2.99,N/A (N/A),,"50,000?..?100,000",00:00 (00:00),"Jackbox Games, Inc.","Jackbox Games, Inc.",
404,YOU-DONT-KNOW-JACK-MOVIES,5-Nov-13,$2.99,N/A (N/A),,"50,000?..?100,000",00:00 (00:00),"Jackbox Games, Inc.","Jackbox Games, Inc.",
407,Hate-Plus,19-Aug-13,$9.99,66% (86%),,"50,000?..?100,000",00:00 (00:00),Love Conquers All Games,Love Conquers All Games,
413,Ultratron,18-Mar-13,$9.99,77% (90%),,"50,000?..?100,000",00:00 (00:00),Puppygames,Puppygames,
419,Tiny-Brains,11-Dec-13,$9.99,45% (77%),,"50,000?..?100,000",00:00 (00:00),Spearhead Games,505 Games,
422,Wizardry-7-Crusaders-of-the-Dark-Savant,10-Sep-13,$4.99,74% (89%),,"50,000?..?100,000",00:01 (00:00),Sir-Tech,"Gamepot, Inc., Nightdive Studios",
427,Artemis-Spaceship-Bridge-Simulator,16-Sep-13,$6.99,71% (88%),,"50,000?..?100,000",00:00 (00:00),,,
428,Pandemonium,8-Oct-13,$6.99,33% (70%),,"50,000?..?100,000",00:00 (00:00),Crystal Dynamics,Square Enix,
440,Primal-Fears,8-Jan-13,$9.99,18% (59%),,"50,000?..?100,000",00:00 (00:00),DnS Development,DnS Development,
446,Luxor-2-HD,13-May-13,$9.99,36% (72%),,"50,000?..?100,000",00:00 (00:00),MumboJumbo,MumboJumbo,
454,Kingdoms-Rise,18-Nov-13,$14.99,9% (45%),,"50,000?..?100,000",00:00 (00:00),Flyleap Studios Pty. Ltd.,Flyleap Studios Pty. Ltd.,
465,Knytt-Underground,25-Oct-13,$6.99,58% (83%),,"50,000?..?100,000",00:00 (00:00),Nifflas' Games,Ripstone,
467,YOU-DONT-KNOW-JACK-TELEVISION,5-Nov-13,$2.99,N/A (N/A),,"50,000?..?100,000",00:00 (00:00),"Jackbox Games, Inc.","Jackbox Games, Inc.",
468,Realms-of-Arkania-Blade-of-Destiny,29-Jul-13,$14.99,11% (50%),,"50,000?..?100,000",00:00 (00:00),Crafty Studios,United Independent Entertainment GmbH,
472,Mini-Motor-Racing-EVO,1-May-13,$4.99,30% (68%),,"50,000?..?100,000",02:31 (00:50),The Binary Mill,The Binary Mill,
490,The-7th-Guest,18-Oct-13,$5.99,41% (75%),,"50,000?..?100,000",00:00 (00:00),Trilobyte Games,Nightdive Studios,
498,Woodcutter-Simulator-2013,19-Dec-13,$9.99,2% (22%),,"50,000?..?100,000",00:00 (00:00),United Independent Entertainment GmbH,United Independent Entertainment GmbH,
503,99-Spirits,12-Nov-13,$9.99,39% (74%),,"50,000?..?100,000",00:00 (00:00),TORaIKI,Fruitbat Factory,
510,Bad-Hotel,16-Oct-13,$4.99,3% (30%),,"50,000?..?100,000",00:00 (00:00),Lucky Frame,Lucky Frame,
246,Blockland,16-Dec-13,$9.99,28% (67%),,"500,000?..?1,000,000",52:12 (34:48),"Eric Hartman, Ben Garney, Anthony Rotondo",Step 1 Games LLC,
252,Bloody-Trapland,18-Nov-13,$9.99,60% (84%),,"500,000?..?1,000,000",00:47 (00:48),2Play,2Play,
279,Kingdom-Wars,1-Apr-13,Free,28% (67%),,"500,000?..?1,000,000",00:00 (00:00),Reverie World Studios,,
285,THE-KING-OF-FIGHTERS-XIII-STEAM-EDITION,13-Sep-13,$19.99,68% (87%),,"500,000?..?1,000,000",01:39 (02:07),SNK CORPORATION,SNK CORPORATION,
288,Worms-Armageddon,19-Mar-13,$2.99,87% (93%),,"500,000?..?1,000,000",04:04 (02:53),Team17 Digital Ltd,Team17 Digital Ltd,
296,Magic-2014-??Duels-of-the-Planeswalkers,26-Jun-13,$9.99,60% (84%),,"500,000?..?1,000,000",05:54 (05:53),Stainless Games,Wizards of the Coast LLC,
304,FORCED-Slightly-Better-Edition,24-Oct-13,$14.99,41% (75%),,"500,000?..?1,000,000",00:28 (00:09),BetaDwarf,BetaDwarf,
306,Project-Zomboid,8-Nov-13,$14.99,66% (86%),,"500,000?..?1,000,000",07:16 (03:57),The Indie Stone,The Indie Stone,
314,Receiver,29-Apr-13,$4.99,66% (86%),,"500,000?..?1,000,000",00:31 (00:50),Wolfire Games,Wolfire Games,
317,Pinball-Arcade,4-Nov-13,Free,38% (73%),,"500,000?..?1,000,000",00:22 (00:12),FarSight Studios,FarSight Studios,
343,Sid-Meier?ôs-Ace-Patrol-Pacific-Skies,5-Nov-13,$4.99,31% (69%),,"500,000?..?1,000,000",00:00 (00:00),Firaxis Games,2K,
350,Viscera-Cleanup-Detail-Santas-Rampage,13-Dec-13,$2.49,77% (90%),,"500,000?..?1,000,000",03:06 (01:02),RuneStorm,RuneStorm,
378,Gorky-17,27-Sep-13,$4.99,56% (82%),,"500,000?..?1,000,000",03:46 (05:07),,Topware Interactive ACE,
386,FINAL-FANTASY-VIII,5-Dec-13,$11.99,74% (89%),,"500,000?..?1,000,000",00:13 (00:04),Square Enix,Square Enix,
400,Age-of-Conan-Unchained,22-Feb-13,Free,31% (69%),,"500,000?..?1,000,000",05:54 (03:56),Funcom,Funcom,
409,Sid-Meier?ôs-Ace-Patrol,27-Aug-13,$4.99,38% (73%),,"500,000?..?1,000,000",00:00 (00:00),Firaxis Games,2K,
441,Soldier-Front-2,3-Jul-13,Free,49% (79%),,"500,000?..?1,000,000",00:00 (00:00),Dragonfly,Aeria Games,
459,Tom-Clancy?ôs-Splinter-Cell-Blacklist,20-Aug-13,$29.99,58% (83%),,"500,000?..?1,000,000",01:25 (01:16),Ubisoft Toronto,Ubisoft,
486,Construct-2,25-Jan-13,Free,71% (88%),,"500,000?..?1,000,000",02:47 (01:23),Scirra,Scirra,
