X.,Game,Release.date,Price,Score.rank,Userscore...Metascore,Owners,Playtime,Median,Developer.s,Publisher.s
19,The Wolf Among Us,11-Oct-13,14.99,0.97,97/85,"1,000,000?..?2,000,000",06:06,04:04,Telltale Games,Telltale Games
296,Magic 2014 ??Duels of the Planeswalkers,26-Jun-13,9.99,0.6,84,"500,000?..?1,000,000",05:54,05:53,Stainless Games,Wizards of the Coast LLC
400,Age of Conan: Unchained,22-Feb-13,0,0.31,69,"500,000?..?1,000,000",05:54,03:56,Funcom,Funcom
58,Company of Heroes 2,25-Jun-13,19.99,0.41,75/80,"2,000,000?..?5,000,000",05:49,02:27,"Relic Entertainment, Feral Interactive,Mac, Feral Interactive,Linux","SEGA, Feral Interactive,Mac, Feral Interactive,Linux"
491,OMSI 2: Steam Edition,11-Dec-13,29.99,0.34,71,"100,000?..?200,000",05:32,02:57,MR-Software GbR,Aerosoft GmbH
4,Deus Ex: Human Revolution - Director's Cut,25-Oct-13,19.99,0.8,91/91,"1,000,000?..?2,000,000",05:24,03:16,"Eidos Montreal, Feral Interactive,Mac","Square Enix, Feral Interactive,Mac"
109,Star Conflict,27-Feb-13,0,0.43,76/75,"2,000,000?..?5,000,000",05:17,03:58,Star Gem Inc.,Gaijin Entertainment
44,TrackMania² Canyon,27-Feb-13,19.99,0.49,79/81,"100,000?..?200,000",05:16,07:38,Nadeo,Ubisoft
48,Outlast,4-Sep-13,19.99,0.95,96/80,"2,000,000?..?5,000,000",05:16,00:33,Red Barrels,Red Barrels
121,Worms Clan Wars,15-Aug-13,4.99,0.43,76/73,"500,000?..?1,000,000",05:14,04:47,Team17 Digital Ltd,Team17 Digital Ltd
128,MirrorMoon EP,4-Sep-13,14.99,0.27,66/73,"50,000?..?100,000",04:52,01:37,Santa Ragione,Santa Ragione
131,Amnesia: A Machine for Pigs,10-Sep-13,19.99,0.25,65/72,"2,000,000?..?5,000,000",04:50,06:20,The Chinese Room,Frictional Games
104,Ring Runner: Flight of the Sages,19-Nov-13,4.99,0.63,85/75,"100,000?..?200,000",04:50,01:36,Triple.B.Titles,Triple.B.Titles
316,Jack Orlando: Director's Cut,4-Oct-13,4.99,0.23,63,"100,000?..?200,000",04:36,04:37,Toontraxx Studios,Topware Interactive
3,FEZ,1-May-13,9.99,0.84,92/91,"1,000,000?..?2,000,000",04:34,03:50,Polytron Corporation,Trapdoor
56,Goodbye Deponia,17-Oct-13,19.99,0.74,89/80,"200,000?..?500,000",04:31,03:31,Daedalic Entertainment,Daedalic Entertainment
188,Remember Me,3-Jun-13,29.99,0.58,83/65,"500,000?..?1,000,000",04:30,05:31,DONTNOD Entertainment,Capcom
266,Demonicon,24-Oct-13,9.99,0.27,66,"100,000?..?200,000",04:19,01:26,Noumena Studios,Kalypso Media Digital
46,Kentucky Route Zero,22-Feb-13,24.99,0.6,84/81,"200,000?..?500,000",04:14,01:24,Cardboard Computer,Cardboard Computer
466,Bridge Constructor,16-Oct-13,9.99,0.41,75,"200,000?..?500,000",04:12,03:58,ClockStone,Headup Games
105,Beatbuddy: Tale of the Guardians,6-Aug-13,9.99,0.66,86/75,"200,000?..?500,000",04:12,01:24,Threaks,Threaks
438,Knights of Pen and Paper +1 Edition,18-Jun-13,9.99,0.63,85,"200,000?..?500,000",04:09,02:51,Behold Studios,Paradox Interactive
288,Worms Armageddon,19-Mar-13,2.99,0.87,93,"500,000?..?1,000,000",04:04,02:53,Team17 Digital Ltd,Team17 Digital Ltd
294,Interstellar Marines,2-Jul-13,9.99,0.22,62,"200,000?..?500,000",04:02,01:20,Zero Point Software,Zero Point Software
147,World War III: Black Gold,27-Sep-13,4.99,0.13,53/71,"2,000,000?..?5,000,000",04:01,04:48,Reality Pump,Topware Interactive
303,Small World 2,11-Dec-13,9.99,0.39,74,"100,000?..?200,000",04:01,01:20,Days of Wonder,"Days of Wonder, Asmodee Digital"
374,Earth 2140,15-Nov-13,4.99,0.14,54,"200,000?..?500,000",03:58,05:12,Reality Pump Studios,"Topware Interactive ACE, ACE"
378,Gorky 17,27-Sep-13,4.99,0.56,82,"500,000?..?1,000,000",03:46,05:07,,Topware Interactive ACE
144,Enclave,4-Oct-13,4.99,0.38,73/71,"1,000,000?..?2,000,000",03:42,05:16,Starbreeze,Topware Interactive
166,Age of Empires II HD,9-Apr-13,19.99,0.9,94/68,"5,000,000?..?10,000,000",03:38,01:47,"Skybox Labs, Hidden Path Entertainment, Ensemble Studios, Forgotten Empires",Microsoft Studios
431,"I Have No Mouth, and I Must Scream",17-Oct-13,5.99,0.71,88,"200,000?..?500,000",03:36,01:12,Cyberdreams,Nightdive Studios
396,Assassin?�s Creed IV Black Flag,19-Nov-13,19.99,0.68,87,"1,000,000?..?2,000,000",03:33,01:57,Ubisoft Montreal,Ubisoft
215,Urban Trial 0style,18-Sep-13,6.99,0.56,82/58,"100,000?..?200,000",03:32,01:10,Tate Multimedia,Tate Multimedia
209,Face Noir,17-Oct-13,9.99,0.22,62/59,"50,000?..?100,000",03:31,01:10,Mad Orange,Phoenix Online Publishing
251,Alex Hunter - Lord of the Mind Platinum Edition,3-Dec-13,6.99,0.53,81,"50,000?..?100,000",03:31,01:10,Alawar,Viva Media
429,The 39 Steps,25-Apr-13,14.99,0.53,81,"200,000?..?500,000",03:27,04:14,The Story Mechanics,KISS ltd
54,GRID 2,27-May-13,29.99,0.51,80/80,"1,000,000?..?2,000,000",03:22,02:47,"Codemasters Racing, Feral Interactive,Mac","Codemasters, Feral Interactive,Mac"
415,KnightShift,27-Sep-13,6.99,0.23,63,"1,000,000?..?2,000,000",03:21,04:13,Reality Pump,Topware Interactive
205,World War II: Panzer Claws,27-Sep-13,4.99,0.25,65/61,"500,000?..?1,000,000",03:18,04:16,,Topware Interactive
91,Anomaly 2,15-May-13,14.99,0.47,78/77,"200,000?..?500,000",03:18,01:06,11 bit studios,11 bit studios
161,Game Dev Tycoon,29-Aug-13,9.99,0.93,95/68,"1,000,000?..?2,000,000",03:16,02:01,Greenheart Games,Greenheart Games
13,Tomb Raider,4-Mar-13,19.99,0.93,95/86,"5,000,000?..?10,000,000",03:12,00:59,"Crystal Dynamics, Eidos-Montréal, Feral Interactive,Mac, Feral Interactive,Linux","Square Enix, Feral Interactive,Mac, Feral Interactive,Linux"
272,Sparkle 2 Evo,24-Oct-13,4.99,0.36,72,"200,000?..?500,000",03:08,02:05,,Forever Entertainment S. A.
350,Viscera Cleanup Detail: Santa's Rampage,13-Dec-13,2.49,0.77,90,"500,000?..?1,000,000",03:06,01:02,RuneStorm,RuneStorm
85,TrackMania² Stadium,20-Jun-13,9.99,0.56,82/77,"200,000?..?500,000",03:05,01:13,Nadeo,Ubisoft
10,The Stanley Parable,17-Oct-13,14.99,0.8,91/88,"2,000,000?..?5,000,000",03:03,01:27,Galactic Cafe,Galactic Cafe
89,Resident Evil Revelations / Biohazard Revelations,20-May-13,29.99,0.58,83/77,"500,000?..?1,000,000",03:01,03:12,Capcom,Capcom
1,BioShock Infinite,25-Mar-13,29.99,0.93,95/94,"2,000,000?..?5,000,000",03:00,01:02,"Irrational Games, Aspyr,Mac, Virtual Programming,Linux","2K, Aspyr,Mac"
277,Knights and Merchants,14-Oct-13,6.99,0.6,84,"1,000,000?..?2,000,000",02:59,03:56,Topware Interactive,Topware Interactive
200,Legend of Dungeon,13-Sep-13,9.99,0.38,73/62,"200,000?..?500,000",02:59,02:16,Robot Loves Kitty,
369,Cry of Fear,25-Apr-13,0,0.63,85,"2,000,000?..?5,000,000",02:59,01:06,Team Psykskallar,Team Psykskallar
165,Scribblenauts Unmasked: A DC Comics Adventure,24-Sep-13,19.99,0.51,80/68,"200,000?..?500,000",02:58,02:49,5th Cell Media,Warner Bros. Interactive Entertainment
25,Trine 2: Complete Story,6-Jun-13,19.99,0.93,95/84,"2,000,000?..?5,000,000",02:58,01:42,Frozenbyte,Frozenbyte
139,Septerra Core,27-Sep-13,4.99,0.45,77/72,"200,000?..?500,000",02:57,02:56,,Topware Interactive
475,DCS World Steam Edition,2-Aug-13,0,0.43,76,"2,000,000?..?5,000,000",02:56,00:48,Eagle Dynamics SA,The Fighter Collection
123,Shadow Warrior,26-Sep-13,39.99,0.87,93/73,"2,000,000?..?5,000,000",02:54,01:31,Flying Wild Hog,Devolver Digital
447,Hero of the Kingdom,14-Nov-13,5.99,0.87,93,"100,000?..?200,000",02:54,00:58,Lonely Troops,Lonely Troops
168,Space Rangers HD: A War Apart,17-Oct-13,14.99,0.9,94/68,"100,000?..?200,000",02:53,02:01,"SNK Games, Elemental Games, Katauri Interactive",1C Entertainment
115,Eador. Masters of the Broken World,19-Apr-13,19.99,0.27,66/74,"1,000,000?..?2,000,000",02:50,02:28,Snowbird Games,Snowbird Games
14,Saints Row IV,19-Aug-13,14.99,0.84,92/86,"2,000,000?..?5,000,000",02:49,01:08,Deep Silver Volition,Deep Silver
77,Earth 2150 Trilogy,1-Nov-13,6.99,0.31,69/78,"2,000,000?..?5,000,000",02:48,03:06,Reality Pump Studios,"Topware Interactive, ACE"
486,Construct 2,25-Jan-13,0,0.71,88,"500,000?..?1,000,000",02:47,01:23,Scirra,Scirra
24,DmC: Devil May Cry,24-Jan-13,29.99,0.9,94/85,"1,000,000?..?2,000,000",02:45,02:27,Ninja Theory,Capcom
476,Castlevania: Lords of Shadow ??Ultimate Edition,27-Aug-13,29.99,0.49,79,"200,000?..?500,000",02:43,03:37,MercurySteam - Climax Studios,Konami Digital Entertainment
114,Batman: Arkham Origins,24-Oct-13,19.99,0.6,84/74,"2,000,000?..?5,000,000",02:42,01:23,"WB Games Montreal, Splash Damage",Warner Bros. Interactive Entertainment
8,Rayman Legends,3-Sep-13,29.99,0.84,92/89,"200,000?..?500,000",02:41,02:07,,Ubisoft
372,Heli Heroes,1-Nov-13,4.99,0.06,39,"200,000?..?500,000",02:35,03:12,Reality Pump,Topware Interactive
90,Risk of Rain,8-Nov-13,9.99,0.87,93/77,"1,000,000?..?2,000,000",02:35,01:25,Hopoo Games,Chucklefish
472,Mini Motor Racing EVO,1-May-13,4.99,0.3,68,"50,000?..?100,000",02:31,00:50,The Binary Mill,The Binary Mill
484,No More Room in Hell,31-Oct-13,0,0.74,89,"5,000,000?..?10,000,000",02:26,00:46,No More Room in Hell Team,Lever Games
62,Memoria,29-Aug-13,19.99,0.77,90/79,"200,000?..?500,000",02:23,01:35,Daedalic Entertainment,Daedalic Entertainment
232,Arma Tactics,1-Oct-13,8.99,0.04,34/47,"200,000?..?500,000",02:23,01:35,Bohemia Interactive,Bohemia Interactive
265,The Walking Dead: Season 2,17-Dec-13,NA,0.93,95,"1,000,000?..?2,000,000",02:23,01:34,Telltale Games,Telltale Games
63,Super House of Dead Ninjas,18-Feb-13,6.99,0.95,96/79,"100,000?..?200,000",02:19,04:09,Megadev,Adult Swim Games
362,America's Army: Proving Grounds,13-Aug,0,0.45,77,"2,000,000?..?5,000,000",02:17,02:12,U.S. Army,U.S. Army
402,Solar Flux,24-Oct-13,9.99,0.49,79,"100,000?..?200,000",02:16,00:45,Firebrand Games,Firebrand Games
282,Divinity: Dragon Commander,6-Aug-13,39.99,0.38,73,"200,000?..?500,000",02:15,01:29,Larian Studios,Larian Studios
9,Guacamelee! Gold Edition,8-Aug-13,14.99,0.9,94/88,"500,000?..?1,000,000",02:14,00:59,DrinkBox Studios,DrinkBox Studios
175,The Banner Saga: Factions,25-Feb-13,0,0.38,73/67,"200,000?..?500,000",02:12,01:42,Stoic,Versus Evil
357,Shadow Warrior Classic Redux,8-Jul-13,9.99,0.84,92,"200,000?..?500,000",02:12,00:44,General Arcade,Devolver Digital
87,Teslagrad,13-Dec-13,9.99,0.66,86/77,"200,000?..?500,000",02:09,02:34,Rain Games,Rain Games
136,PixelJunk Monsters Ultimate,26-Aug-13,9.99,0.53,81/72,"200,000?..?500,000",02:09,01:06,"Double Eleven, Q-Games Ltd.",Double Eleven
75,LEGO Marvel Super Heroes,22-Oct-13,19.99,0.8,91/78,"500,000?..?1,000,000",02:09,01:05,Traveller's Tales,"Warner Bros. Interactive Entertainment, Feral Interactive,Mac"
276,Escape Goat,9-Oct-13,4.99,0.97,97,"20,000?..?50,000",02:08,01:03,MagicalTimeBean,MagicalTimeBean
57,Brutal Legend,26-Feb-13,14.99,0.9,94/80,"2,000,000?..?5,000,000",02:06,01:21,Double Fine Productions,Double Fine Productions
453,Portal 2 Sixense Perceptual Pack,20-Sep-13,0,0.09,46,"100,000?..?200,000",02:04,02:27,,Sixense
52,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,24-Oct-13,19.99,0.74,89/80,"500,000?..?1,000,000",02:00,03:57,CyberConnect2 Co. Ltd.,BANDAI NAMCO Entertainment
198,Contagion,25-Oct-13,9.99,0.39,74/62,"1,000,000?..?2,000,000",02:00,01:26,"Monochrome, Inc","Monochrome, Inc"
280,Anomaly Korea,6-Nov-13,4.99,0.3,68,"100,000?..?200,000",01:59,01:02,11 bit studios,11 bit studios
494,ORION: Prelude,16-Apr-13,0.99,0.43,76,"2,000,000?..?5,000,000",01:58,02:53,Spiral Game Studios,DANKIE
133,Cities in Motion 2,2-Apr-13,19.99,0.17,58/72,"500,000?..?1,000,000",01:57,02:20,Colossal Order Ltd.,Paradox Interactive
21,"Papers, Please",8-Aug-13,9.99,0.93,95/85,"2,000,000?..?5,000,000",01:56,00:45,Lucas Pope,3909
423,Dungeons & Dragons: Chronicles of Mystara,18-Jun-13,14.99,0.51,80,"100,000?..?200,000",01:48,01:48,Iron Galaxy Studios,Capcom
471,FINAL FANTASY VII,4-Jul-13,11.99,0.84,92,"1,000,000?..?2,000,000",01:47,01:11,Square Enix,Square Enix
256,Zombie Tycoon 2: Brainhov's Revenge,9-Dec-13,4.99,0.25,65,"50,000?..?100,000",01:47,00:35,Frima Studio,Frima Studio
207,Violett Remastered,13-Dec-13,9.99,0.18,59/61,"100,000?..?200,000",01:46,00:35,Forever Entertainment S. A.,Forever Entertainment S. A.
12,The Swapper,30-May-13,14.99,0.93,95/87,"500,000?..?1,000,000",01:43,01:38,"Olli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano",Facepalm Games
157,Shelter,28-Aug-13,9.99,0.66,86/69,"200,000?..?500,000",01:42,00:36,Might and Delight,Might and Delight
5,Spelunky,8-Aug-13,14.99,0.8,91/90,"500,000?..?1,000,000",01:40,01:02,,Mossmouth
285,THE KING OF FIGHTERS XIII STEAM EDITION,13-Sep-13,19.99,0.68,87,"500,000?..?1,000,000",01:39,02:07,SNK CORPORATION,SNK CORPORATION
394,The Typing of The Dead: Overkill,29-Oct-13,19.99,0.66,86,"200,000?..?500,000",01:39,00:33,Modern Dream,SEGA
269,Just Cause 2: Multiplayer Mod,16-Dec-13,0,0.8,91,"1,000,000?..?2,000,000",01:39,00:32,Avalanche Studios,Square Enix
178,Final Exam,5-Nov-13,9.99,0.66,86/66,"100,000?..?200,000",01:38,00:32,Mighty Rocket Studio,Focus Home Interactive
192,Inquisitor,13-Aug,9.99,0.3,68/64,"100,000?..?200,000",01:37,00:44,"CINEMAX, s.r.o.","CINEMAX, s.r.o."
88,Sanctum 2,15-May-13,14.99,0.87,93/77,"2,000,000?..?5,000,000",01:35,01:00,Coffee Stain Studios,Coffee Stain Publishing
129,The Incredible Adventures of Van Helsing,22-May-13,14.99,0.58,83/72,"500,000?..?1,000,000",01:34,01:02,NeocoreGames,NeocoreGames
271,Blood Knights,13-Nov-13,9.99,0.25,65,"50,000?..?100,000",01:33,01:01,Deck 13,Kalypso Media Digital
117,Fieldrunners 2,10-Jan-13,9.99,0.66,86/73,"100,000?..?200,000",01:33,00:31,Subatomic Studios LLC,Subatomic Studios LLC
426,Injustice: Gods Among Us Ultimate Edition,12-Nov-13,19.99,0.63,85,"1,000,000?..?2,000,000",01:31,01:48,"NetherRealm Studios, High Voltage Software",Warner Bros. Interactive Entertainment
148,Democracy 3,14-Oct-13,24.99,0.38,73/70,"500,000?..?1,000,000",01:29,01:14,Positech Games,Positech Games
97,Volgarr the Viking,13-Sep-13,9.99,0.6,84/76,"200,000?..?500,000",01:26,00:55,Crazy Viking Studios,Adult Swim Games
459,Tom Clancy?�s Splinter Cell Blacklist,20-Aug-13,29.99,0.58,83,"500,000?..?1,000,000",01:25,01:16,Ubisoft Toronto,Ubisoft
456,Dust: An Elysian Tail,24-May-13,14.99,0.95,96,"1,000,000?..?2,000,000",01:25,00:47,Humble Hearts LLC,Microsoft Studios
173,Long Live The Queen,8-Nov-13,9.99,0.93,95/67,"200,000?..?500,000",01:23,01:22,Hanako Games,Hanako Games
225,Sniper Elite: Nazi Zombie Army 2,31-Oct-13,14.99,0.6,84/53,"200,000?..?500,000",01:22,00:54,,Rebellion
176,Strike Suit Infinity,30-Apr-13,6.99,0.63,85/66,"100,000?..?200,000",01:22,00:27,Born Ready Games Ltd.,Born Ready Games
334,DLC Quest,18-Mar-13,2.99,0.71,88,"200,000?..?500,000",01:20,00:41,Going Loud Studios,Going Loud Studios
177,The Bureau: XCOM Declassified,19-Aug-13,19.99,0.27,66/66,"2,000,000?..?5,000,000",01:19,01:23,2K Marin,2K
229,Gomo,6-Dec-13,4.99,0.41,75/50,"100,000?..?200,000",01:18,00:51,Fishcow Studio,Daedalic Entertainment
384,Doorways: Prelude,20-Sep-13,9.99,0.21,61,"50,000?..?100,000",01:18,00:26,Saibot Studios,Saibot Studios
106,Reus,16-May-13,9.99,0.49,79/75,"500,000?..?1,000,000",01:16,00:25,Abbey Games,Abbey Games
171,"10,000,000",15-Jan-13,4.99,0.77,90/67,"100,000?..?200,000",01:15,01:12,EightyEightGames,EightyEightGames
125,Gas Guzzlers Extreme,8-Oct-13,24.99,0.63,85/73,"200,000?..?500,000",01:14,01:18,Gamepires,Iceberg Interactive
336,Omerta - City of Gangsters,31-Jan-13,14.99,0.21,61,"200,000?..?500,000",01:14,00:24,Haemimont Games,Kalypso Media Digital
47,Far Cry 3 - Blood Dragon,1-May-13,14.99,0.71,88/81,"1,000,000?..?2,000,000",01:13,00:49,Ubisoft Montreal,Ubisoft
72,Stronghold Crusader HD,21-Oct-13,9.99,0.95,96/78,"1,000,000?..?2,000,000",01:13,00:43,FireFly Studios,FireFly Studios
331,Emergency 2014,15-Nov-13,9.99,0.16,57,"50,000?..?100,000",01:13,00:24,Sixteen Tons Entertainment,Sixteen Tons Entertainment
202,Sacred Citadel,16-Apr-13,9.99,0.38,73/61,"500,000?..?1,000,000",01:12,00:24,Southend,Deep Silver
323,RaceRoom Racing Experience,12-Feb-13,0,0.17,58,"2,000,000?..?5,000,000",01:10,00:34,Sector3 Studios,"Sector3 Studios, RaceRoom Entertainment AG"
226,Sniper: Ghost Warrior 2,11-Mar-13,9.99,0.33,70/52,"1,000,000?..?2,000,000",01:10,00:17,City Interactive,CI Games
28,Gunpoint,3-Jun-13,9.99,0.97,97/83,"500,000?..?1,000,000",01:09,01:27,Suspicious Developments,Suspicious Developments
51,La-Mulana,15-Apr-13,14.99,0.56,82/80,"200,000?..?500,000",01:08,00:32,NIGORO,AGM PLAYISM
45,King Arthur's Gold,5-Nov-13,9.99,0.56,82/81,"200,000?..?500,000",01:07,00:53,Transhuman Design,Transhuman Design
291,MotoGP13,20-Jun-13,9.99,0.31,69,"50,000?..?100,000",01:06,00:22,Milestone S.r.l.,"Plug In Digital, Milestone S.r.l."
34,Antichamber,31-Jan-13,19.99,0.93,95/82,"1,000,000?..?2,000,000",01:04,00:56,Alexander Bruce,Demruth
27,Skullgirls,22-Aug-13,9.99,0.93,95/83,"1,000,000?..?2,000,000",01:04,00:36,Lab Zero Games,"Marvelous, Autumn Games"
53,140,16-Oct-13,4.99,0.9,94/80,"100,000?..?200,000",01:03,00:41,Carlsen Games,Carlsen Games
152,Neighbours from Hell Compilation,7-Nov-13,9.99,0.97,97/69,"200,000?..?500,000",01:02,00:37,JoWooD Vienna,THQ Nordic
478,Penny Arcade's On the Rain-Slick Precipice of Darkness 4,7-Jun-13,1.99,0.58,83,"200,000?..?500,000",01:01,00:40,Zeboyd Games,"Penny Arcade, Inc."
29,Monaco: What's Yours Is Mine,24-Apr-13,14.99,0.84,92/83,"2,000,000?..?5,000,000",00:58,01:11,Pocketwatch Games,Pocketwatch Games
64,TrackMania² Valley,4-Jul-13,19.99,0.43,76/79,"100,000?..?200,000",00:58,00:19,Nadeo,Ubisoft
120,PixelJunk Shooter,11-Nov-13,8.99,0.9,94/73,"100,000?..?200,000",00:58,00:19,"Double Eleven, Q-Games Ltd.",Double Eleven
22,Rogue Legacy,27-Jun-13,14.99,0.87,93/85,"1,000,000?..?2,000,000",00:57,01:36,Cellar Door Games,Cellar Door Games
295,Wizardry 6: Bane of the Cosmic Forge,10-Sep-13,4.99,0.45,77,"50,000?..?100,000",00:57,00:19,Sir-Tech,"Gamepot, Inc., Nightdive Studios"
201,Contrast,15-Nov-13,9.99,0.77,90/62,"200,000?..?500,000",00:55,00:18,Compulsion Games,Focus Home Interactive
81,Ace Combat Assault Horizon - Enhanced Edition,24-Jan-13,19.99,0.19,60/77,"200,000?..?500,000",00:54,01:09,NAMCO,BANDAI NAMCO Entertainment
130,Tetrobot and Co.,22-Oct-13,9.99,0.97,97/72,"50,000?..?100,000",00:53,00:17,Swing Swing Submarine,Swing Swing Submarine
380,Anomaly Warzone Earth Mobile Campaign,6-Nov-13,4.99,0.47,78,"100,000?..?200,000",00:52,01:08,11 bit studios,11 bit studios
137,Hammerwatch,12-Aug-13,9.99,0.74,89/72,"500,000?..?1,000,000",00:52,00:29,Crackshell,Crackshell
381,Zeno Clash 2,30-Apr-13,14.99,0.51,80,"200,000?..?500,000",00:52,00:17,ACE Team,ATLUS USA
41,Stronghold HD,21-Oct-13,5.99,0.87,93/81,"1,000,000?..?2,000,000",00:51,00:51,FireFly Studios,FireFly Studios
206,Evoland,4-Apr-13,9.99,0.58,83/61,"200,000?..?500,000",00:51,00:29,Shiro Games,Shiro Games
480,Electronic Super Joy,23-Aug-13,7.99,0.77,90,"100,000?..?200,000",00:49,00:57,Michael Todd Games,Michael Todd Games
102,Anna - Extended Edition,12-Apr-13,9.99,0.27,66/75,"200,000?..?500,000",00:48,00:31,Dreampainters,Kalypso Media Digital
252,Bloody Trapland,18-Nov-13,9.99,0.6,84,"500,000?..?1,000,000",00:47,00:48,2Play,2Play
445,Euro Truck Simulator,8-Mar-13,4.99,0.49,79,"1,000,000?..?2,000,000",00:46,01:01,SCS Software,SCS Software
451,Marvel Puzzle Quest,5-Dec-13,0,0.31,69,"200,000?..?500,000",00:43,00:14,Demiurge Studios,D3 Go!
383,Agricultural Simulator 2013 - Steam Edition,7-Jun-13,9.99,0.02,22,"50,000?..?100,000",00:40,00:13,Actalogic,United Independent Entertainment GmbH
18,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,26-Feb-13,14.99,0.87,93/85,"200,000?..?500,000",00:39,00:57,Gaijin Games,Gaijin Games
190,Slender: The Arrival,28-Oct-13,9.99,0.71,88/65,"200,000?..?500,000",00:37,00:54,Blue Isle Studios,Blue Isle Studios
151,ENSLAVED: Odyssey to the West Premium Edition,24-Oct-13,19.99,0.63,85/70,"200,000?..?500,000",00:37,00:12,Ninja Theory,BANDAI NAMCO Entertainment
