"","name","cri.rate","user.rate","date","content","year"
"11","
                                    Oddworld: Abe's Oddysee - New 'n' Tasty
                                                                    ",87,7.7,2,"
                            Rescue your fellow meat factory slaves in this nostalgic, classic platformer with the latest immersive graphics and design.

Find your destiny

Once a happy floor waxer in Oddworld's biggest meat processing plant, Abe stumbled across his boss's secret plan to turn the factory's slave labour force into the latest in the RuptureFarms Tasty Treats line of novelty meat snacks.

Abe now has to save his own skin from the grinders even if simply escaping the flesh farm is only the start of his Oddysee. Trigger-happy hunting parties, carnivorous sacred beasts, ancient temple traps and even a return to his former workplace await Abe on his journey to discover his people's heritage.
                            ","2015"
"12","
                                    Crypt of the NecroDancer
                                                                    ",87,7.7,4,"
                            A hardcore rhythm-based roguelike game. Can you survive this deadly dungeon of dance, slay the NecroDancer, and recapture your still beating heart? Or will you be a slave to the rhythm for all eternity? Players must move on the beat to navigate procedurally generated dungeons while battling dancing skeletons, zombies, dragons, and more! Groove with the game's epic dance soundtrack, or select songs from your own MP3 collection! You can even play with a dance pad to really shake your bones!
                            ","2015"
"13","
                                    Tales From The Borderlands: Episode 5 - The Vault of the Traveler
                                                                    ",86,8.7,10,"
                            In the final episode of the season, all hell is breaking loose. Jack is now in control of Helios' systems, and he is ready to reclaim his rightful place as king of Hyperion - with or without you. It's a mad dash to get out of the chaotic space station alive, as everyone scrambles to grab the final Gortys piece and high tail it back to Pandora. Can you guide our motley crew through perilous corporate dangers in hopes of getting some copious alien riches? Loyalties will be tested, secrets will be revealed, and explosions will be in large supply in this final chapter of Tales From The Borderlands.
                            ","2015"
"14","
                                    Final Fantasy XIV: Heavensward
                                                                    ",86,8.5,6,"
                            The Warriors of Light travel now to Ishgard a city-state mired in a 1000-year conflict with the dragons of the Dravanian Horde. Can our heroes reveal the ancient truths buried in Ishgard¡¦s bloody history and help bring an end to the Dragonsong War? Can the Warriors of Light cast off the shadows that darken the realm?
                            ","2015"
"15","
                                    Her Story
                                                                    ",86,6,6,"
                            Her Story is the new game from Sam Barlow, creator of Silent Hill: Shattered Memories and Aisle. A crime fiction game with non-linear storytelling, Her Story revolves around a police database full of live action video footage. It stars Viva Seifert, actress and one half of the band Joe Gideon and the Shark.
                            ","2015"
"16","
                                    Homeworld Remastered Collection
                                                                    ",86,8.2,2,"
                            Assume control of your fleet and assemble an armada across more than thirty single-player missions. Choose unit types, fleet formations and flight tactics for each strategic situation. 
                            ","2015"
"17","
                                    Heroes of the Storm
                                                                    ",86,6.5,6,"
                            This free-to-play online team brawler assembles a diverse cast of characters from Blizzard¡¦s far-flung realms of science fiction and fantasy, including the Warcraft, StarCraft, and Diablo universes, and challenges them to compete in epic, adrenaline-charged battles. Heroes of the Storm solicits players to customize heroes to suit their style and then team up with friends for some all-out mayhem. The game features an array of gameplay modes for players of every skill level, including Cooperative, in which players team up against computer-controlled opponents, and Quick Match, an accessible way to jump in and play versus others. Experienced players can also join forces against other teams of players in highly competitive, draft-style ranked play. [Blizzard]
                            ","2015"
"18","
                                    DiRT Rally
                                                                    ",86,8.7,12,"
                            DiRT Rally captures the essence of what makes rally unique ¡V that sense of trying to remain in control of your emotions, as you hurtle along at breakneck speed, aiming to squeeze everything out of your car whilst knowing that one crash could irreparably harm your stage time.
                            ","2015"
"19","
                                    Rocket League
                                                                    ",86,8.3,7,"
                            Soccer meets driving once again in this physics-based multiplayer-focused sequel to Supersonic Acrobatic Rocket-Powered Battle-Cars. Choose a variety of high-flying vehicles equipped with huge rocket boosters to score aerial goals and pull-off game-changing saves.
                            ","2015"
"20","
                                    Cities: Skylines
                                                                    ",85,8.9,3,"
                            Developed by Colossal Order, Cities: Skylines offers sprawling landscapes and maps with endless sandbox gameplay and new ways to expand your city. Key to progression is the ability to influence your city¡¦s policy by incorporating taxation into districts. All this plus the ability to mod the game to suit your play style.
                            ","2015"
"21","
                                    Tales from the Borderlands: A Telltale Game Series
                                                                    ",85,8.5,10,"
                            Like all good tales, there¡¦s more than one side to a story. Especially one about a Vault key, the Hyperion Corporation, bandits, loot, gangsters, Vault Hunters, secret Atlas tech, explosions, getaways, extortion, betrayal, and mayhem. Set after the events seen in Borderlands 2, Tales from the Borderlands is about Rhys, a Hyperion company man looking to become the next Handsome Jack, and it¡¦s also about Fiona, a Pandoran con artist out to score the biggest of all swindles. Lured into danger by a Vault key and all it promises, the unlikely duo are thrown together with a common goal and a huge amount of mistrust. Who is telling the truth, and why is it important That¡¦s up to you to decide. You are Rhys¡Kand you are also Fiona, because like every tale worth telling, there are two¡Koh, you read that part already? Well, it¡¦s important to remember that there *are* two sides to every story, and you my friend, you will tell this tale, or¡Ktales, through the choices that you make. Your every decision as both Rhys and Fiona will affect the people and world around you: this is a game where YOU are the final author in a brand new Borderlands story set on the unforgiving world of Pandora. [TellTale Games]
                            ","2015"
"22","
                                    The Binding of Isaac: Afterbirth
                                                                    ",85,8.2,10,"
                            When Isaac¡¦s mother starts hearing the voice of God demanding a sacrifice be made to prove her faith, Isaac escapes into the basement facing droves of deranged enemies, lost brothers and sisters, his fears, and eventually his mother. 
                            ","2015"
"23","
                                    Chaos Reborn
                                                                    ",85,8.1,10,"
                            At the heart of Chaos Reborn is an intuitive and fluid turn-based wizard combat system. You play the role of a fighting wizard armed with a selection of spells and magical staff. Some spells summon creatures but others are more exotic, such as the Gooey Blob which spreads uncontrollably across the terrain. The balance between Law and Chaos can be altered to your advantage, or you can cast illusions to deceive your adversaries. It¡¦s a game of bluff, tactics and calculated risks with nail-biting decisions from one turn to the next.
                            ","2015"
"24","
                                    Zenzizenzic
                                                                    ",85,6.1,7,"
                            Zenzizenzic is a fast-paced twin stick bullet hell shoot 'em up and open world roguelike. Featuring an abstract art style and a thumping, soundtrack, it promises to get your thumbs sweating and your blood pumping.
                            ","2015"
"25","
                                    Mega Man Legacy Collection
                                                                    ",85,7.6,8,"
                            Featuring reproductions of the series origins with the original six Mega Man games, the Legacy Collection should remind long-time fans and introduce newcomers to what made Mega Man such a popular and iconic character. Mega Man Legacy Collection will feature all six games and more. In addition to the six Mega Man games, Mega Man Legacy Collection features new ways to experience the classic games with the Museum Mode and new Challenge Mode. Challenge Mode remixes gameplay segments from all six games, with plenty of scaling difficulty objectives for experienced players to conquer yet serving as a good starting point for new players, too. Museum Mode contains a comprehensive collection of history, high-res art and original concept pieces.
                            ","2015"
"26","
                                    System Shock: Enhanced Edition
                                                                    ",85,8.4,9,"
                            The Enhanced Edition adds a modern touch to this classic gem, without taking anything from its unmistakable atmosphere.
                            ","2015"
"27","
                                    80 Days (2015)
                                                                    ",84,6.9,9,"
                            1872, with a steampunk twist. Phileas Fogg has wagered he can circumnavigate the world in just eighty days. Choose your own route around a 3D globe, travelling by airship, submarine, mechanical camel, steam-train and more, racing other players and a clock that never stops.
                            ","2015"
"28","
                                    Hearthstone: Heroes of Warcraft - The Grand Tournament
                                                                    ",84,4.1,8,"
                            132 new cards add a cavalry of noble knights, powerful steeds, potent spells, and more to your collection. A new keyword, Inspire, rallies minions to perform great acts of courage as they fight in your honor for a hard-earned victory.
                            ","2015"
"29","
                                    SOMA
                                                                    ",84,8.4,9,"
                            Strange occurrences are disrupting the routines of the PATHOS-2 research facility. The radio is silent. Behavioral anomalies of the machines are increasingly dangerous, if not... malevolent. The facility is devolving into chaos. No weapons, and the only escape is practically unthinkable. From Frictional Games, creators of the Amnesia and Penumbra series, SOMA is an aberrant tale of scientific inquiry and survival; an entropic exploration of synapse and circuit that wades through the delusions of human consciousness.
                            ","2015"
"30","
                                    Grim Fandango Remastered
                                                                    ",84,8,1,"
                            Something is rotten in the land of the Dead, and you are being played for a sucker. Please meet Manny Calavera, travel agent at the Department of Death. He sells luxury packages to souls on their 4-year trip to eternal rest. But there is trouble in paradise. Help Manny untangle himself from a conspiracy that threatens his very salvation. [Double Fine]
                            ","2015"
"31","
                                    Fallout 4
                                                                    ",84,5.4,11,"
                            As the sole survivor of Vault 111, you enter a world destroyed by nuclear war. Every second is a fight for survival, and every choice is yours. Only you can rebuild and determine the fate of the Wasteland. Welcome home.
                            ","2015"
"32","
                                    Life is Strange
                                                                    ",83,8.7,10,"
                            Life is Strange is a hand drawn work of art and every action enacts a butterfly effect - but with the power to rewind time, what would you change? And would it turn out to be a change for the better or worse?
                            ","2015"
"33","
                                    Project CARS
                                                                    ",83,7.1,5,"
                            Create a driver, pick from a variety of motorsports, and shift into high gear to chase a number of Historic Goals and ultimate recognition in the Hall Of Fame. Then test your skills online either in competitive fully-loaded race weekends, leaderboard-based time challenges, or continually-updated community events.
                            ","2015"
"34","
                                    Helldivers
                                                                    ",83,7,12,"
                            Set in a dystopian future, players fight to protect ""Super Earth,"" where a managed democracy has blurred the lines between military and government rule. We are losing the war, and the HELLDIVERS are the last line of defense against three invading enemy species.
                            ","2015"
"35","
                                    Life is Strange: Episode 5 - Polarized
                                                                    ",83,8.4,10,"
                            In Episode 5: Polarized Max learns that time is impossible to control as she moves inexorably towards the most agonizing decision of her life. Arcadia Bay, meanwhile, is preparing to weather a huge storm as Life is Strange comes to a gripping and gut wrenching conclusion.
                            ","2015"
"36","
                                    Invisible, Inc.
                                                                    ",82,7.9,5,"
                            Invisible, Inc. is a mercenary espionage agency operating in the latter years of the 21st century. Infiltrate procedurally generated corporate facilities in tense, turn-based missions where every move could be your last. Find profit in chaos as you guide your team around the world in search of lucrative contracts. 
                            ","2015"
"37","
                                    Hearthstone: Heroes of Warcraft - Blackrock Mountain
                                                                    ",82,6,4,"
                            An expansion for Hearthstone, Blackrock Mountain is a single-player adventure.
                            ","2015"
"38","
                                    Hacknet
                                                                    ",82,7.7,8,"
                            Hacknet is a terminal-driven hacking game with competitive multiplayer, a fully internally-consistent network simulation and a realistic interface. It follows the story of recently deceased hacker ""Bit"", whose death may not be the 'accident' the media reports. You stand in for no one, as most games have you do - play for yourself, make your own decisions, and see the world react - if you're leaving a trace that is. Hacknet has no protagonist, other than the person using it. Don't be reckless though - it's more real than you think.
                            ","2015"
"39","
                                    The Talos Principle: Road To Gehenna
                                                                    ",82,7.7,7,"
                            The Talos Principle: Road to Gehenna follows the narrative of Uriel, Elohim's messenger, as he explores a strange, hidden part of the simulation on a mission of mercy and redemption in an attempt to free the souls of the damned at all costs.

This substantial expansion consists of four episodes that take experienced players through some of the most advanced and challenging puzzles yet. The Talos Principle writers Tom Jubert and Jonas Kyratzes have returned to pen the expansion and show players an entirely different side of Elohim's world through a journey to Gehenna filled with new characters and a new society with its own history and philosophy.
                            ","2015"
"40","
                                    King's Quest Chapter 1: A Knight to Remember
                                                                    ",82,7.3,7,"
                            King¡¦s Quest is a collection of 5 different chapter releases, each focusing on an untold tale in Graham¡¦s past. In each installment, an aging King Graham reflects on his life of adventure with his granddaughter, Gwendolyn, while players are thrust back to influence first-hand the decisions and events that shaped a kingdom. Embark on an extraordinary journey across the world of Daventry. [Sierra]
                            ","2015"
"41","
                                    Technobabylon
                                                                    ",82,7.7,5,"
                            Technobabylon takes place in a dystopian cyberpunk future where genetic engineering is the norm, the addictive Trance has replaced almost any need for human interaction, and an omnipresent AI named Central powers the city. Its all-seeing CEL police force keeps tabs on everyone... including three people who are about to meet their maker.
                            ","2015"
"42","
                                    Resident Evil HD Remaster
                                                                    ",82,8.3,1,"
                            In 1998 a special forces team was sent to investigate some bizarre murders on the outskirts of Raccoon City. Upon arrival they were attacked by a pack of blood-thirsty dogs and were forced to take cover in a nearby mansion. But the scent of death hung heavy in the air. Supplies were scarce as they struggled to stay alive. 
                            ","2015"
"43","
                                    OlliOlli2: Welcome to Olliwood
                                                                    ",82,5.7,8,"
                            OlliOlli2: Welcome to Olliwood plucks the iconic skater from the street and dropping him squarely in the middle of the Big Screen¡¦s most bodacious cinematic locations.
                            ","2015"
"44","
                                    Shadowrun: Hong Kong
                                                                    ",81,7.7,8,"
                            Shadowrun: Hong Kong is the 3rd standalone game in Harebrained Schemes¡¦ Shadowrun cRPG series. Experience an all new crew, expanded magic and cyberware, a revamped Matrix, an upgraded Shadowrun Editor, and more.
                            ","2015"
"45","
                                    Football Manager 2016
                                                                    ",81,6.9,11,"
                            Taking control of any squad from more than 50 countries across the world, you decide who plays and who sits on the bench, deal with the media and solve player problems. 
                            ","2015"
"46","
                                    Downwell
                                                                    ",81,6.5,10,"
                            Downwell is a curious game about a young person venturing down a well in search of untold treasures with only his Gunboots to protect him. 
                            ","2015"
"47","
                                    Tales From The Borderlands: Episode 3 - Catch A Ride
                                                                    ",81,8.4,6,"
                            After a dizzying escape from a near-almost-certain-death scenario (involving statuesque buttocks), Rhys and Fiona are in search of another piece of the puzzle that will lead them to the vast riches of Vault key ownership. Lost in the mysterious jungle of an Atlas terraforming facility, Fiona finds help from an unexpected mentor, Rhys continues to share brain-space with the disembodied mind of a dead dictator, and love is in the air. Pursued by the ruthless criminal 'Queenpin' Vallory, and with very little help from Vaughn's accountancy skills (or stellar abs), getting anywhere near the Vault is entirely on you.
                            ","2015"
"48","
                                    Guild Wars 2: Heart of Thorns
                                                                    ",81,7.3,10,"
                            Explore new training opportunities for your character beyond level 80 and master abilities like hang gliding in the jungle, tearing the bark off of heavily armored Mordrem, or building new collections that earn precursors to a legendary weapon.
                            ","2015"
"49","
                                    The Age of Decadence
                                                                    ",81,8,10,"
                            The Age of Decadence is an isometric, turn-based, single-player role-playing game set in a low magic, post-apocalyptic fantasy world, inspired by the fall of the Roman Empire. The game features a detailed skill-based character system, multiple skill-based ways to handle quests, choices & consequences, and extensive dialogue trees. 
                            ","2015"
"50","
                                    Order of Battle: Pacific
                                                                    ",81,5.6,4,"
                            Order of Battle: Pacific features playable campaigns for both US-led Allies and Japanese Empire. Starting from the attack on Pearl Harbor, the dynamic campaign system allows players to alter the course of history and win the war as Japan or lead Allied forces to ultimate victory with the invasion of Japan. 
                            ","2015"
"51","
                                    World of Warships
                                                                    ",81,6.1,9,"
                            Warships is a free, historical, online combat game from Wargaming. Command a massive naval fleet featuring some of history's most iconic war vessels, level up important tech modules and prepare to dominate the oceans in World of Warships. With four classes of ships, myriad upgrades, and strategically designed environments, every match is a unique experience.
                            ","2015"
"52","
                                    FIFA 16
                                                                    ",81,4.4,9,"
                            Games are won and lost in the midfield - in FIFA 16, the midfield matters. Stay in possession with patient build-up play or ping clinical passes through space to start an attack. 
                            ","2015"
"53","
                                    The Book of Unwritten Tales 2
                                                                    ",80,7.6,2,"
                            Legends foretold it. Prophecies predicted it. Chosen ones chose to believe in it. Now the adventure saga continues. A sequel is coming. Join Wilbur, Ivo, Nate and Critter in another classic point-and-click adventure in the wicked world of Aventasia. Help them fulfill their destiny. A destiny as yet unwritten.
                            ","2015"
"54","
                                    Lovers in a Dangerous Spacetime
                                                                    ",80,7.3,9,"
                            Lovers in a Dangerous Spacetime is a 2-player co-op micro-platformer set inside a neon spaceship locked in battle with hordes of space baddies. Players work together running back and forth between ship control rooms, manning turrets, lasers, shields and thrusters to rack up points and stave off a vacuumy demise. In mish-mash terms you could describe it as Jumpman meets Asteroids meets Han saying ""Don't get cocky.""
                            ","2015"
"55","
                                    Westerado: Double Barreled
                                                                    ",80,7.6,4,"
                            Brought to you by the indie game developer Ostrich Banditos, Westerado takes you on a pixilated journey through the Old West where you must avenge the murder of your family. With a deep narrative and a new mystery every time you play, Westerado presents a full experience rarely seen in free casual gaming. So strap on that six shooter and get ready for some serious avenging. It's time to play Westerado.
                            ","2015"
"56","
                                    Volume
                                                                    ",80,7.3,8,"
                            Robert Locksley is a petty thief who happens upon a device known as ""Volume"". Originally intended to be utilized as part of a secret military coup, Robert now has the ability to simulate high-profile heists, so what does he choose to do? Broadcast these crimes over the internet. Make your way through this postmodern twist on Let's Play videos with the help of Danny Wallace as the voice of the Volume artificial Intelligence. From Mike Bithell, creator of Thomas Was Alone.
                            ","2015"
"57","
                                    Age of Wonders III - Eternal Lords
                                                                    ",80,8.4,4,"
                            Eternal Lords is the major, second expansion for the acclaimed strategy game Age of Wonders III. With the introduction of the Tigran and Frostling races and the new Necromancer class, players must adapt to a world on the brink of cataclysmic change. New features such as the Race Governance system, which allows players to tailor features of each race in their empire to meet their strategic needs, add new layers of depth to empire development and diplomacy. 
                            ","2015"
"58","
                                    Dariusburst: Chronicle Saviours
                                                                    ",80,8.4,12,"
                            Game Features:

- Brand-new story mode with hundreds of stages covering DARIUS history

- 3000+ stages unlockable by global players in AC Chronicle mode

- 9 playable ships to choose from including classic Silver Hawk variants, a new CS-exclusive ship, and gameplay-changing Burst modes

- Branching stages where you choose your own path and challenge level

- Over 40 enormous, robotic sea-monster battleships (including new CS-exclusive bosses)

- Haunting and memorable Zuntata soundtrack from classic tracks to new compositions

- Cross-Save support with PlayStation(R)4Vita system
                            ","2015"
"59","
                                    Grandia II Anniversary Edition
                                                                    ",80,7.7,8,"
                            The classic Japanese RPG returns with enhanced visuals, new difficulty level, and features both keyboard and gamepad support.
                            ","2015"
"60","
                                    Read Only Memories
                                                                    ",80,4.3,10,"
                            The time December, 2064AD. Your life as a struggling journalist is interrupted by the world¡¦s first sapient robot, a ROM named Turing. Explore the world of Neo-San Francisco, befriend the locals, and decide how to approach your encounters.
                            ","2015"
"61","
                                    Dropsy
                                                                    ",80,7.4,9,"
                            Dropsy is a non-traditional take on the classic point and click adventure formula starring the game¡¦s perpetually carefree namesake clown as he explores a richly detailed world full of colorful characters and sinister secrets, doling out hugs along the way.
                            ","2015"
"62","
                                    Company of Heroes 2: The British Forces
                                                                    ",80,6.2,9,"
                            This latest multiplayer standalone entry in the COH2 series features this iconic Allied army. Experience a unique tech-tree that challenges the player to balance the constant trade-off between mobility and defense. Surprise opponents with your development choices and an open end game configuration.
                            ","2015"
"63","
                                    Life is Strange: Episode 3 - Chaos Theory
                                                                    ",80,8.9,5,"
                            In the third installment of Life is Strange, Max & Chloe ramp up their investigation to find out what exactly is going on at Blackwell Academy and the whereabouts of Rachel Amber. Secrets will be uncovered and Max will find another use for her power.
                            ","2015"
"64","
                                    The Legend of Heroes: Trails in the Sky SC
                                                                    ",80,8.6,10,"
                            Picking up shortly after The Legend of Heroes: Trails in the Sky, Estelle travels across Liberl in search of Joshua. The journey involves more than seeking loved ones, however, as the Bracer Guild also tasks her with unraveling the mysteries behind the newly unveiled Society of Uroboros.
                            ","2015"
"65","
                                    Axiom Verge
                                                                    ",80,7.7,5,"
                            Axiom Verge is an indie game focusing on action and exploration.
                            ","2015"
"66","
                                    Total War: Attila
                                                                    ",80,7.4,2,"
                            Set against backdrop of starvation, disease and war, a new power is rising in the East. With a million horsemen supporting him, the ultimate warrior king approaches, and he's got Rome in his sites. Total War: ATTILA thrusts players back to 395 AD world. A time of apocalyptic turmoil at the very dawn of the Dark Ages.
                            ","2015"
"67","
                                    The Magic Circle
                                                                    ",79,7.1,7,"
                            In this darkly comedic story, you are the hero of an unfinished fantasy game - and your designers have failed you. Trap their creations. Swap behaviors and body parts, crafting your own unique solutions to free-form puzzles. Steal the power of creation, to either ship the game from the inside ... or cancel it. 
                            ","2015"
"68","
                                    Stasis
                                                                    ",79,7.6,8,"
                            Disoriented, drowsy and in pain, John Maracheck opens his eyes. There is nothing to greet him but the static of a nearby monitor and a cold steel floor. Thick, green liquid covers the floor and then his body, leading to trail to a nearby, steaming stasis-pod. He slowly gets to his feet, trying to take in his surroundings. Where is his wife? His daughter? What the hell is going on...?
Stasis is an adventure game that puts you in control of John Maracheck, a man searching for his family in a seemingly abandoned research facility. Going back to classic adventure game mechanics, you are required to solve puzzles and use objects around you to progress and to find Maracheck's family.
                            ","2015"
"69","
                                    Warhammer: End Times - Vermintide
                                                                    ",79,7.7,10,"
                            Vermintide is an epic co-operative action combat adventure set in the End Times of the iconic Warhammer Fantasy world.
                            ","2015"
"70","
                                    Else Heart.Break()
                                                                    ",79,7.5,9,"
                            A game about friendship, love and technology in a place where bits have replaced atoms.
                            ","2015"
"71","
                                    Cities: Skylines - After Dark
                                                                    ",79,7.7,9,"
                            An expansion for Cities: Skylines that adds a day/night cycle, visual enhancements, new buildings, policies, and district specializations.
                            ","2015"
"72","
                                    Jotun
                                                                    ",79,7,9,"
                            Jotun is a hand-drawn action-exploration game set in Norse mythology. In Jotun, you play Thora, a Viking warrior who died an inglorious death and must prove herself to the Gods to enter Valhalla. Impress the Gods.
                            ","2015"
"73","
                                    Dark Souls II: Scholar of the First Sin
                                                                    ",79,7.4,4,"
                            Dark Souls II: Scholar of the First Sin includes the 3 previously released DLC packs  - Crown of the Sunken King, Crown of the Old Iron King, and Crown of the ivory King - along with additional features. All versions of the game include the following features (Existing Dark Souls II owners will receive a patch to implement these elements): Additional NPCs added for an enhanced story experience. Parameter adjustments for improved game balance. Augmented item descriptions. Improved online matchmaking functionality. [Bandai Namco]
                            ","2015"
"74","
                                    The Incredible Adventures of Van Helsing: Final Cut
                                                                    ",79,7.4,10,"
                            The Incredible Adventures of Van Helsing: Final Cut is an Action-RPG set in a gothic-steampunk world filled with monsters, weird science, humor and pop-cultural references. With more than 50 hours in the campaign, several multiplayer modes and massive endgame content, Van Helsing: Final Cut will grant players entertainment, excitement and fun for a very long time.
                            ","2015"
"75","
                                    Sid Meier's Civilization: Beyond Earth - Rising Tide
                                                                    ",79,6,10,"
                            After the initial wave of great colony ships departed Earth, the jubilation of humanity was ephemeral. Those left behind fell into a violent struggle over the quickly-diminishing resources on their barren home world. From this tumultuous time, 4 new factions arose. These newcomers were founded not in the idealism of their predecessors, but on opportunism, resilience, ruthlessness, and, most importantly, a commitment to their own survival. Now, many decades after their first landfall on a new planet, the proud survivors of the first expeditions beyond Earth look up to see the skies darkened by a new breed of pioneers. [2K]
                            ","2015"
"76","
                                    Tales From The Borderlands: Episode 4 - Escape Plan Bravo
                                                                    ",79,8.4,8,"
                            Captured by Vallory and her thugs, Rhys and Fiona are forced to keep searching for the Vault beacon - at gunpoint. The beacon is on the Hyperion moon base - Helios - while our heroes are on Pandora... so there's the annoying cold void of death known as 'space' to overcome. Even with the help of a familiar face, and with a worryingly helpful Handsome Jack hitching a ride in Rhys¡¦ head, getting on board the ominous ¡¥H¡¦ is going to take every drop of guile, and quite possibly all the spunk you¡¦ve got. Sacrifices will be made ¡V can you make the tough choices needed to succeed?
                            ","2015"
